system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_098066_19990216,37.0,99.415916,838.3641091415575,1.0,1999-02-16T00:11:48,1.0,0.0,1100.7893219239554,,Fly_Water_Upstream,1089.9999999999998,98.0,3128,96.00000000000001,1091.0000000000002,66.0,5,471.00000000000006,40.0720189016477,314.0000000000001,36.498913,
1_1_LT05_098066_20090211,10.0,102.118988,658.2625706921095,0.0,2009-02-11T00:18:19,1.0,0.0,916.1237838915472,,Fly_Water_Upstream,796.9999999999991,98.0,3128,68.0,970.187460322499,66.0,5,51.00000000000004,22.259224445358182,52.00000000000004,34.9687,
1_1_LT05_098066_20091212,12.0,120.84568,692.3574487689183,0.0,2009-12-12T00:23:08,1.0,0.0,988.6132618017031,,Fly_Water_Upstream,740.0000000000001,98.0,3128,68.0,1022.9999999999999,66.0,5,20.0,21.380300122737946,13.000000000000002,31.226044,
1_1_LT05_098066_20110217,13.0,98.938873,836.4222222222222,0.23922285605294388,2011-02-17T00:22:32,1.0,0.0,1030.353982300885,,Fly_Water_Upstream,1009.7714861645593,98.0,3128,68.0,1060.2602346744425,66.0,5,350.20275746425074,110.2070061566707,230.84716140320356,33.78558,
1_1_LT05_099066_19871020,14.0,95.116783,1146.3060861646536,0.24840824275521434,1987-10-20T00:06:16,1.0,0.7010457727771269,1516.0519603968855,,Fly_Water_Upstream,1277.0000000000002,99.0,3128,66.00000000000001,1600.0507082326308,66.0,5,485.00000000000006,457.2942312779619,391.0000000000001,32.096172,
1_1_LT05_099066_19871121,17.0,112.935394,884.573185613359,0.0,1987-11-21T00:06:55,1.0,0.0,1234.7082809137562,,Fly_Water_Upstream,1016.0,99.0,3128,68.0,1290.005296216165,66.0,5,253.00000000000003,43.90036488464628,225.99999999999997,33.336411,
1_1_LT05_099066_19880413,18.0,64.426605,658.0832242637807,0.013751728534177922,1988-04-13T00:08:50,1.0,0.0,932.3171165019696,,Fly_Water_Upstream,705.9999999999999,99.0,3128,68.0,1004.3168615179055,66.0,5,37.0007801913522,27.92018474984984,21.0,39.823109,
1_1_LT05_099066_19890110,23.0,114.664917,698.1229056546503,0.0,1989-01-10T00:08:59,1.0,0.0,1014.3536835889156,,Fly_Water_Upstream,780.9206654104677,99.0,3128,68.0,1069.0000000000005,66.0,5,140.00000000000003,24.69623831303906,94.00000000000006,38.401539,
1_1_LT05_099066_19890211,71.0,101.728264,2294.3377247129256,1.0,1989-02-11T00:08:44,2.0,0.20433866321335745,2557.6923472903086,,Fly_Water_Upstream,2948.3525180714278,99.0,3128,224.0,2480.576697309774,66.0,5,1569.9673957402692,103.23137597483627,1232.7433418471533,38.853771,
1_1_LT05_099066_19890331,23.0,72.375824,653.0000000000001,0.0,1989-03-31T00:07:43,1.0,0.0,906.0000000000001,,Fly_Water_Upstream,498.00000000000017,99.0,3128,68.0,976.0000000000008,66.0,5,37.00000000000002,21.098217895559383,20.999999999999996,39.002876,
1_1_LT05_099066_19891212,32.0,117.078392,688.0000000000001,0.0,1989-12-12T00:02:18,1.0,0.0,1055.0000000000005,,Fly_Water_Upstream,725.0,99.0,3128,68.0,1107.0000000000002,66.0,5,133.0,37.09052094168416,89.99999999999996,37.078121,
1_1_LT05_099066_19900402,76.0,71.896149,2573.0217391304354,1.0,1990-04-02T23:58:45,2.0,0.0,2852.2326805385555,,Fly_Water_Upstream,3173.2087575880214,99.0,3128,224.0,2776.504832763892,66.0,5,1686.0,146.71730081707142,1299.0000000000002,41.302925,
1_1_LT05_099066_19900418,20.0,63.176014,964.0,0.9636926258410528,1990-04-18T23:58:58,1.0,0.0,1275.9999999999998,,Fly_Water_Upstream,1140.0,99.0,3128,95.99999999999999,1272.9999999999998,66.0,5,502.9999999999999,38.79124426378779,352.0,42.597141,
1_1_LT05_099066_19901011,13.0,90.160423,1196.5216672232557,0.6714015745660157,1990-10-11T23:58:20,1.0,0.886498978955072,1650.6249387060486,,Fly_Water_Upstream,1395.0000000000002,99.0,3128,96.0,1753.4183930942904,66.0,5,427.88146714451307,941.0759230482627,378.9999999999999,34.671394,
1_1_LT05_099066_19901027,28.0,100.348854,1342.9399053256243,0.6326711154723572,1990-10-27T23:58:13,1.0,1.0105981637410195,1760.2198707819098,,Fly_Water_Upstream,1434.4078609570754,99.0,3128,72.0,1832.76902332483,66.0,5,577.4503002770261,2219.122129445597,509.99999999999994,33.961678,
1_1_LT05_099066_19901214,30.0,116.776093,866.3014904278555,0.0,1990-12-14T23:58:07,1.0,0.0,1228.0,,Fly_Water_Upstream,861.0000000000003,99.0,3128,68.0,1290.9999999999998,66.0,5,111.00000000000006,42.58118419209656,93.0,38.346966,
1_1_LT05_099066_19910115,8.0,112.283447,902.9999999999999,0.022403810680647188,1991-01-15T23:59:00,1.0,0.0,1280.9999999999998,,Fly_Water_Upstream,1060.9999999999998,99.0,3128,67.99999999999996,1345.0000000000002,66.0,5,384.0,40.29522526416072,290.0000000000001,40.956688,
1_1_LT05_099066_19910216,81.0,98.694794,980.0787779259211,0.0020428701572809244,1991-02-16T23:59:36,1.0,0.11235745594111932,1368.2556409548579,,Fly_Water_Upstream,1325.0000000000005,99.0,3128,66.0,1458.366669041525,66.0,5,415.99999999999994,46.27995305922235,293.99999999999994,40.946438,
1_1_LT05_099066_19910321,2.0,79.782402,836.1535985006633,0.26316007418580073,1991-03-21T00:00:15,1.0,0.435086680943532,1186.0136657927123,,Fly_Water_Upstream,1155.0694947658324,99.0,3128,68.00000000000001,1286.7300688996302,66.0,5,305.99999999999994,479.32933858185396,246.99999999999997,40.487236,
1_1_LT05_099066_19910625,51.0,48.461433,1163.4830531180928,0.9242004823582854,1991-06-25T00:01:46,1.0,0.23726117301655508,1515.1734141180768,,Fly_Water_Upstream,1300.9999999999995,99.0,3128,160.00000000000003,1530.1537301938422,66.0,5,538.3561802053008,156.01622618556053,400.0000000000001,49.142113,
1_1_LT05_099066_19910913,37.0,72.06826,966.9999999999998,0.0,1991-09-13T00:02:35,1.0,0.37737599880638223,1339.0,,Fly_Water_Upstream,1570.0,99.0,3128,66.0,1372.9999999999993,66.0,5,371.9999999999999,32.54792805839859,243.99999999999997,38.403778,
1_1_LT05_099066_19910929,12.0,81.359192,918.7515161491546,0.09277617019567883,1991-09-29T00:02:41,1.0,0.2613353684494776,1256.1227933074645,,Fly_Water_Upstream,1351.0000000000002,99.0,3128,66.00000000000001,1292.7399182036681,66.0,5,427.99999999999994,207.75723759036228,303.0000000000001,35.33036,
1_1_LT05_099066_19920103,27.0,115.841942,985.194572368421,0.7419031820086885,1992-01-03T00:02:59,1.0,0.139384722768512,1252.0,,Fly_Water_Upstream,1370.735482646123,99.0,3128,72.0,1302.268532731377,66.0,5,454.00000000000017,65.46129910428414,318.00000000000017,39.219456,
1_1_LT05_099066_19920119,32.0,111.684494,868.0,0.0,1992-01-19T00:02:59,1.0,0.0,1258.5419108395201,,Fly_Water_Upstream,1425.9999999999995,99.0,3128,66.0,1318.7132384451065,66.0,5,210.99999999999997,22.744108127389143,129.0,40.133732,
1_1_LT05_099066_19920424,9.0,59.947083,726.2695803156626,0.0,1992-04-24T00:02:35,1.0,0.05652694656087001,1098.3513652910528,,Fly_Water_Upstream,995.0000000000003,99.0,3128,68.0,1198.0000000000002,66.0,5,160.00000000000006,54.83569056869323,105.99999999999997,42.44508,
1_1_LT05_099066_19920915,15.0,73.757874,928.0000000000002,0.003616432305456771,1992-09-15T00:00:50,1.0,0.0,1278.1278557422431,,Fly_Water_Upstream,1202.0000000000002,99.0,3128,66.00000000000001,1368.0,66.0,5,382.00000000000006,37.66848388677509,286.0,38.232033,
1_1_LT05_099066_19930105,25.0,115.05629,1432.19091589718,0.0,1993-01-05T00:00:15,2.0,1.1101515215038327,1806.2201006569596,,Fly_Water_Upstream,1781.8564921321429,99.0,3128,66.0,1879.0,66.0,5,1198.8510638297873,597.3140243831349,1076.0,40.042202,
1_1_LT05_099066_19930222,81.0,95.67997,20000.0,1.0,1993-02-22T00:00:42,2.0,0.0,6032.303845229259,,Fly_Water_Upstream,6602.999999999999,99.0,3128,224.0,6086.939519118742,66.0,5,2998.0000000000005,39.58539365875127,2536.304988669212,40.549057,
1_1_LT05_099066_19930326,24.0,76.305244,786.5165988871686,0.028842365211979148,1993-03-26T00:00:53,1.0,0.15549446210010398,1198.0126704232134,,Fly_Water_Upstream,1034.0017215747218,99.0,3128,68.0,1300.0028449502133,66.0,5,207.00000000000003,156.84346134167444,140.00000000000006,40.454117,
1_1_LT05_099066_19930801,12.0,55.152225,821.481946865363,0.0,1993-08-01T00:01:07,1.0,0.05645095728874921,1197.622682993489,,Fly_Water_Upstream,1096.011088439086,99.0,3128,67.99999999999997,1298.7528180582303,66.0,5,82.96524913763572,58.69544591143155,72.00000000000001,47.006985,
1_1_LT05_099066_19931004,20.0,84.975746,1132.8370320868949,0.17783385492610274,1993-10-04T00:01:00,1.0,0.5456253660857134,1534.1299148773983,,Fly_Water_Upstream,1400.2833142716838,99.0,3128,66.00000000000001,1618.6881517639229,66.0,5,465.99999999999994,553.6709322533139,380.0,34.867672,
1_1_LT05_099066_19931121,21.0,112.478149,1568.0,0.0,1993-11-21T00:00:39,1.0,0.0,1817.6793777087782,,Fly_Water_Upstream,1144.0,99.0,3128,68.0,1696.1762559192505,66.0,5,261.0,45.884681099639856,152.00000000000003,34.831974,
1_1_LT05_099066_19940108,18.0,114.456856,868.3327092692085,0.0,1994-01-08T00:00:14,1.0,0.0,1230.016039921583,,Fly_Water_Upstream,1156.0000000000002,99.0,3128,67.99999999999997,1348.0664646166292,66.0,5,278.99999999999994,36.79924923947397,210.0,40.20052,
1_1_LT05_099066_19940920,6.0,77.467957,897.9999999999999,0.0,1994-09-20T23:55:08,1.0,0.0,1201.0000000000005,,Fly_Water_Upstream,1158.0000000000005,99.0,3128,66.0,1294.9999999999998,66.0,5,349.0,43.13892688326561,276.9999999999999,38.488224,
1_1_LT05_099066_19941107,2.0,106.224632,898.0,0.0,1994-11-07T23:53:34,1.0,0.0,1223.9999999999995,,Fly_Water_Upstream,1090.0000000000005,99.0,3128,68.0,1302.0,66.0,5,337.9999999999997,33.549448948049054,270.00000000000006,35.334629,
1_1_LT05_099066_19950126,34.0,108.044464,927.0,0.0,1995-01-26T23:50:52,1.0,0.0,1216.491144179641,,Fly_Water_Upstream,1280.9999999999998,99.0,3128,66.0,1348.2563198414061,66.0,5,405.9999999999999,32.54062947555588,304.00000000000017,43.094528,
1_1_LT05_099066_19950331,67.0,74.370079,2158.4995126869435,1.0,1995-03-31T23:48:16,0.0,0.4220525226080244,2331.0166393823147,,Fly_Water_Upstream,3348.0000000000005,99.0,3128,224.0,2366.0007821077797,66.0,5,2075.9999999999995,257.92009290488767,1714.0000000000007,43.650814,
1_1_LT05_099066_19950416,26.0,65.90696,1336.150684931507,1.0,1995-04-16T23:47:37,0.0,1.0830091838824853,1474.3770643747891,,Fly_Water_Upstream,1867.3416894264537,99.0,3128,224.0,1556.508691246395,66.0,5,1275.3598034398035,1002.1560585800838,1146.9432505920533,44.86969,
1_1_LT05_099066_19960301,44.0,91.40699,715.0,2.4469267854409105E-4,1996-03-01T23:45:13,1.0,0.0,902.1893164659865,,Fly_Water_Upstream,928.226108002766,99.0,3128,68.0,962.0,66.0,5,331.00000000000006,54.411672959334105,229.00000000000003,44.245441,
