system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_137044_19880102,3.0,143.707779,893.0,0.300826234592473,1988-01-02T03:53:39,1.0,0.0,1161.0000000000002,210.0,Ganges_Water_Midstream,447.99999999999994,137.0,1132,68.0,862.0181361607143,44.0,5,222.99999999999997,132.13278136262943,126.00000000000003,55.637836,
1_1_LT05_137044_19880219,1.0,132.109619,654.0,0.0,1988-02-19T03:54:29,1.0,0.0,883.0000000000002,191.0,Ganges_Water_Midstream,274.99999999999994,137.0,1132,68.0,585.0000000000001,44.0,5,95.00000000000001,24.03005103747575,62.00000000000002,48.398026,
1_1_LT05_137044_19880306,19.0,126.829018,672.9999999999999,0.0,1988-03-06T03:54:39,1.0,0.0,918.0,176.0,Ganges_Water_Midstream,296.00000000000006,137.0,1132,68.0,567.0,44.0,5,117.00000000000003,25.38881632788508,97.00000000000003,43.741444,
1_1_LT05_137044_19880407,3.0,113.23011,1067.0,0.0,1988-04-07T03:54:54,1.0,0.0,1538.000000000001,144.0,Ganges_Water_Midstream,692.9999999999999,137.0,1132,68.0,1348.0000000000011,44.0,5,297.00000000000006,23.83821565868678,227.00000000000014,34.290482,
1_1_LT05_137044_19880914,44.0,120.162994,499.0,0.0,1988-09-14T03:55:34,1.0,0.0,783.0000000000003,146.0,Ganges_Water_Midstream,616.9999999999999,137.0,1132,68.0,776.0,44.0,5,128.0,31.3747907543731,89.00000000000001,34.821297,
1_1_LT05_137044_19880930,82.0,129.611938,2861.051200797564,1.0,1988-09-30T03:55:26,2.0,0.11867742490280456,3150.6306756463173,157.0,Ganges_Water_Midstream,3453.4874976321266,137.0,1132,224.0,3071.0,44.0,5,2170.390606521372,309.93003287738486,1825.0,37.860371,
1_1_LT05_137044_19881016,44.0,137.262787,1197.9999999999998,0.0,1988-10-16T03:55:22,1.0,0.4902906439362996,1627.0000000000005,169.0,Ganges_Water_Midstream,1492.9999999999993,137.0,1132,66.0,1685.0000000000002,44.0,5,392.00000000000006,40.779605023445576,293.0,41.646919,
1_1_LT05_137044_19881101,15.0,142.651291,866.9999999999999,0.0,1988-11-01T03:55:25,1.0,0.0,1272.0,183.0,Ganges_Water_Midstream,769.9999999999999,137.0,1132,68.0,1267.9999999999998,44.0,5,64.0,21.40687611880825,19.000000000000004,45.778744,
1_1_LT05_137044_19890104,2.0,143.487488,790.0,0.0,1989-01-04T03:55:07,1.0,0.0,1046.440168441912,210.0,Ganges_Water_Midstream,384.3223950187388,137.0,1132,68.0,758.0000000000001,44.0,5,112.60288146527195,28.795602977424295,74.00000000000003,55.471203,
1_1_LT05_137044_19890205,0.0,136.028427,643.0,0.0,1989-02-05T03:54:51,1.0,0.0,885.0000000000002,200.0,Ganges_Water_Midstream,305.00000000000006,137.0,1132,68.0,604.507235755574,44.0,5,104.99999999999999,27.169916957228594,68.00000000000001,51.598652,
1_1_LT05_137044_19890221,2.0,131.251999,782.0000000000001,0.0,1989-02-21T03:54:45,1.0,0.0,1047.0000000000002,188.0,Ganges_Water_Midstream,400.00000000000034,137.0,1132,68.0,805.0000000000006,44.0,5,182.00000000000009,25.818897566277162,102.00000000000001,47.659592,
1_1_LT05_137044_19890309,2.0,125.731407,882.0000000000001,0.0,1989-03-09T03:54:21,1.0,0.0,1123.0000000000007,174.0,Ganges_Water_Midstream,596.0000000000001,137.0,1132,68.0,921.0000000000002,44.0,5,185.99999999999991,22.598248661404,131.0,42.978867,
1_1_LT05_137044_19890325,6.0,119.220901,780.0,0.0,1989-03-25T03:53:44,1.0,0.0,1112.0,158.0,Ganges_Water_Midstream,443.99999999999994,137.0,1132,68.0,861.0,44.0,5,178.0,21.542275729718725,160.00000000000003,38.15519,
