system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_141048_19880606,89.0,74.544502,1879.0,1.0,1988-06-06T04:21:39,0.0,0.0,2215.9999999999995,126.99999999999999,Godavari_Land_Upstream,3235.999999999999,141.0,216,224.0,2346.0,48.0,5,2771.9999999999995,249.22282749963577,2167.0000000000005,29.924042,
1_1_LT05_141048_19880708,90.0,75.156906,20000.0,1.0,1988-07-08T04:21:48,2.0,0.3312693299999688,8339.766812227073,132.99999999999997,Godavari_Land_Upstream,8738.768595041322,141.0,216,224.0,20000.0,48.0,5,5596.2679810149675,2494.092246227997,3874.9999999999995,31.356827,
1_1_LT05_141048_19881129,35.0,142.888,1550.0000000000002,0.0,1988-11-29T04:21:43,0.0,0.4475202212442434,2316.0000000000005,189.99999999999994,Godavari_Land_Upstream,3542.9640287769785,141.0,216,66.0,2880.0,48.0,5,4398.0,1386.4891991274153,4099.0,48.047787,
1_1_LT05_141048_19890406,11.0,104.852554,1434.0,0.0,1989-04-06T04:20:15,0.0,0.6155144390600094,2019.752652569795,142.0,Godavari_Land_Upstream,3114.596551724138,141.0,216,66.0,2472.775700934579,48.0,5,4170.833333333333,1356.8700544136386,3920.543338108883,33.770901,
1_1_LT05_141048_19890524,96.0,78.388504,1511.0000000000002,1.0,1989-05-24T04:19:31,0.0,1.0168336232068405,2202.0,126.99999999999999,Godavari_Land_Upstream,3375.0,141.0,216,72.0,2638.0,48.0,5,3833.0000000000005,936.4876608310911,3403.0,29.92416,
1_1_LT05_141048_19890711,12.0,75.88604,19999.999999999993,0.9479421499496332,1989-07-11T04:18:36,0.0,0.6520385885725279,3761.0,135.99999999999997,Godavari_Land_Upstream,4677.0,141.0,216,224.0,4102.0,48.0,5,4553.667268623025,4886.465401635188,3660.9999999999995,32.195663,
1_1_LT05_141048_19891218,1.0,140.872467,1453.6017428527748,0.0,1989-12-18T04:14:31,0.0,0.41920522979962693,2198.9999999999995,199.99999999999997,Godavari_Land_Upstream,3340.478599221789,141.0,216,66.0,2714.4353395061726,48.0,5,4469.431910569106,882.014040561098,4146.999999999999,51.76524,
1_1_LT05_141048_19900103,29.0,138.61496,1506.0000000000002,0.0,1990-01-03T04:13:57,0.0,0.34839308759535537,2072.0,203.00000000000003,Godavari_Land_Upstream,3170.9999999999995,141.0,216,66.0,2530.9999999999995,48.0,5,4250.999999999999,963.3966929975958,3813.0,52.65012,
1_1_LT05_141048_19900204,3.0,130.34024,1322.250855968957,0.0,1990-02-04T04:12:59,0.0,0.28327886186626583,2064.0,194.99999999999994,Godavari_Land_Upstream,3285.4706751054855,141.0,216,66.0,2607.9999999999995,48.0,5,4297.890440855522,909.0007677376294,4104.866527087151,49.944447,
1_1_LT05_141048_19900308,33.0,118.155205,1217.5905134899915,0.0,1990-03-08T04:11:54,0.0,0.35977316241635054,1929.2603082049147,172.99999999999997,Godavari_Land_Upstream,3052.940773949977,141.0,216,66.0,2400.909515951595,48.0,5,3795.3234000977036,1054.7758301806596,3169.613445378151,42.824047,
1_1_LT05_141048_19900409,4.0,101.879623,954.0,1.0,1990-04-09T04:11:16,1.0,1.3587324409735149,1114.0,147.0,Godavari_Land_Upstream,1227.0,141.0,13,224.0,1067.0,48.0,5,960.0,896.879046286978,717.0,35.298267,
1_1_LT05_141048_19900527,7.0,77.503784,1524.9999999999998,0.0,1990-05-27T04:11:18,0.0,0.3408363392464067,2202.9999999999995,134.99999999999997,Godavari_Land_Upstream,3435.548387096774,141.0,216,66.0,2710.931506849315,48.0,5,3959.0,1184.7693652695336,3300.6666666666665,31.896961,
1_1_LT05_141048_19910122,11.0,133.914551,1847.3029292688736,0.19835587854367542,1991-01-22T04:11:34,0.0,0.2715347833076885,2767.175333333333,201.00000000000003,Godavari_Land_Upstream,4258.0,141.0,216,66.0,3451.206799859797,48.0,5,5692.881916417133,2802.321695320927,5200.2642943513565,52.064789,
1_1_LT05_141048_19910311,3.0,117.084412,1413.9999999999998,0.0,1991-03-11T04:12:26,0.0,0.0,2155.0,170.0,Godavari_Land_Upstream,3344.9999999999995,141.0,195,66.0,2743.0,48.0,5,4524.0,312.86609403100135,4176.999999999999,41.928268,
1_1_LT05_141048_19910327,3.0,109.352745,1453.9999999999998,0.133463327538411,1991-03-27T04:12:42,0.0,0.0,2034.0000000000005,155.99999999999997,Godavari_Land_Upstream,3212.0000000000005,141.0,165,66.0,2543.9999999999995,48.0,5,4557.0,306.44121752463576,4281.105263157895,37.821522,
1_1_LT05_141048_19910428,69.0,91.236107,20000.0,1.0,1991-04-28T04:13:15,2.0,0.9854479599430047,3726.9999999999995,136.0,Godavari_Land_Upstream,4651.000000000001,141.0,216,224.0,3819.999999999999,48.0,5,2859.0000000000005,35.16818668334785,2292.0000000000005,32.154148,
1_1_LT05_141048_19910514,14.0,82.780846,1480.055095589342,0.1419268959562527,1991-05-14T04:13:32,0.0,0.0,2199.9999999999995,131.99999999999997,Godavari_Land_Upstream,3408.0,141.0,216,66.0,2770.0,48.0,5,4528.157221904218,317.5728991842602,4034.0,31.255863,
1_1_LT05_141048_19910530,31.0,76.645584,1690.9999999999995,0.5849222909771192,1991-05-30T04:13:47,0.0,0.0,2266.0000000000005,132.99999999999997,Godavari_Land_Upstream,3308.999999999999,141.0,216,95.99999999999999,2695.0,48.0,5,3815.0,155.3394229872726,3236.0000000000005,31.423649,
1_1_LT05_141048_19910701,67.0,74.045044,1674.0,1.0,1991-07-01T04:14:16,0.0,0.0,2198.0,138.0,Godavari_Land_Upstream,3185.0000000000005,141.0,216,224.0,2483.0,48.0,5,3120.518867924529,490.5514643501718,2454.1238095238095,32.846016,
1_1_LT05_141048_19911122,10.0,140.634979,1578.0,0.0,1991-11-22T04:15:19,0.0,0.0,2171.0,188.0,Godavari_Land_Upstream,3289.8345052007667,141.0,216,66.0,2556.7577662057824,48.0,5,4448.710014947684,223.27999519501472,4144.0,47.477692,
1_1_LT05_141048_19920109,0.0,137.850159,1416.0,0.0,1992-01-09T04:15:22,0.0,0.0,2064.0,202.00000000000006,Godavari_Land_Upstream,3285.8798305084747,141.0,216,66.0,2547.0,48.0,5,4377.999999999999,177.86983992633057,4181.7279743701765,52.347904,
