system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_152043_19861020,0.0,136.773712,993.0,0.0,1986-10-20T05:16:33,1.0,0.5929171054013799,1490.0707237235085,181.0,Indus_Water_Downstream,565.0000000000001,152.0,875,68.0,1352.0000000000002,43.0,5,264.0,1002.9947602117595,222.99999999999997,45.227276,
1_1_LT05_152043_19871108,2.0,144.493225,892.0,0.0,1987-11-08T05:25:03,1.0,0.630815733630605,1379.0,192.0,Indus_Water_Downstream,782.9999999999998,152.0,875,68.0,1436.0000000000002,43.0,5,74.08790449733465,817.4694389672238,66.00000000000001,48.727905,
1_1_LT05_152043_19871124,3.0,146.676041,1753.5170316301705,0.9936895660624955,1987-11-24T05:25:22,0.0,1.726961138969318,2224.2751872432955,202.0,Indus_Water_Downstream,2281.0,152.0,875,223.99999999999994,2228.0,43.0,5,2396.0,1115.0437635412543,2065.0,52.435249,
1_1_LT05_152043_19871226,2.0,145.499557,896.0000000000001,0.0,1987-12-26T05:25:51,1.0,0.6684356394460372,1286.0397930433894,213.0,Indus_Water_Downstream,888.0000000000001,152.0,875,68.0,1375.0000000000002,43.0,5,90.0,871.4806144077387,81.00000000000003,56.568077,
1_1_LT05_152043_19880127,6.0,139.38266,898.0000000000001,0.0,1988-01-27T05:26:24,1.0,0.8611912016006003,1312.0,207.0,Indus_Water_Downstream,901.6017743264932,152.0,875,68.0,1387.0000000000005,43.0,5,189.99999999999997,578.0372772545354,126.00000000000013,54.417377,
1_1_LT05_152043_19880315,4.0,125.047745,902.1441095432915,0.16484609080038162,1988-03-15T05:27:03,1.0,0.5612301357786504,1263.0000000000002,169.0,Indus_Water_Downstream,430.20969101638383,152.0,875,68.0,996.9999999999997,43.0,5,256.0,863.2077564668252,211.99999999999997,41.566963,
1_1_LT05_152043_19880331,0.0,118.549484,882.3600704559312,0.0,1988-03-31T05:27:10,1.0,0.48051129231352757,1272.0000000000014,152.0,Indus_Water_Downstream,500.0198844509857,152.0,875,68.0,1140.0000000000005,43.0,5,236.00000000000003,848.3247114904692,196.1852356591749,36.630936,
1_1_LT05_152043_19880502,1.0,102.349739,1133.9999999999998,0.0,1988-05-02T05:27:21,1.0,0.6001208041651587,1565.0000000000011,125.0,Indus_Water_Downstream,1276.0,152.0,875,66.0,1677.0000000000018,43.0,5,623.9999999999999,617.8783484371569,527.0000000000001,29.414402,
1_1_LT05_152043_19880518,53.0,94.271996,20000.0,1.0,1988-05-18T05:27:32,4.0,1.871697167202613,4178.0,119.0,Indus_Water_Downstream,4380.818181818182,152.0,875,224.0,4301.745508982036,43.0,5,4049.6513317191275,1121.2167883263323,3317.0000000000005,27.893204,
1_1_LT05_152043_19880619,14.0,85.814491,1444.7077719195474,0.43505717011299655,1988-06-19T05:27:43,1.0,1.329248491073211,1999.9999999999995,120.0,Indus_Water_Downstream,1384.0207165732586,152.0,875,66.00000000000003,2089.005948446794,43.0,5,618.9999999999999,1191.735959422871,504.9999999999999,28.173717,
1_1_LT05_152043_19880705,76.0,86.944443,20000.0,1.0,1988-07-05T05:27:47,4.0,0.0,4335.0,124.0,Indus_Water_Downstream,4540.0,152.0,875,224.0,4430.0,43.0,5,3830.222222222222,586.2171382851787,2641.0,28.999901,
1_1_LT05_152043_19880822,35.0,107.848099,1221.1152627463885,0.0,1988-08-22T05:27:53,2.0,0.9129590374609544,1702.0000000000007,136.0,Indus_Water_Downstream,1773.0000000000007,152.0,875,66.0,1916.0000000000014,43.0,5,468.00000000000006,375.3193485825214,344.1287195789256,32.222412,
1_1_LT05_152043_19880907,23.0,117.890411,1295.9999999999998,0.3086783022290298,1988-09-07T05:27:55,2.0,0.6764942040869717,1840.0000000000007,143.0,Indus_Water_Downstream,1866.0000000000005,152.0,875,66.00000000000003,2076.0000000000005,43.0,5,444.0000000000001,370.77064767429516,347.0000000000001,34.233532,
1_1_LT05_152043_19881009,5.0,135.688171,1197.773756414987,0.16851859316287554,1988-10-09T05:27:44,2.0,0.8365917249684666,1656.0,167.0,Indus_Water_Downstream,1725.0,152.0,875,66.00000000000003,2011.0000000000005,43.0,5,353.0,621.2720295136422,285.0000000000001,40.782692,
1_1_LT05_152043_19881025,4.0,141.797638,1136.1353250119366,0.08504530166023982,1988-10-25T05:27:41,1.0,0.4115809241727039,1656.0000000000002,180.0,Indus_Water_Downstream,1296.9999999999998,152.0,875,66.0,1880.0000000000005,43.0,5,181.00000000000006,220.89138884815156,142.00000000000009,44.94762,
1_1_LT05_152043_19881110,0.0,145.647598,886.0000000000001,0.1161988704815905,1988-11-10T05:27:43,1.0,0.5850312393542828,1308.0,193.0,Indus_Water_Downstream,357.99999999999994,152.0,875,67.99999999999999,1113.0,43.0,5,77.00000000000001,704.0631212481692,69.0,49.122398,
1_1_LT05_152043_19881212,1.0,147.136292,884.3110315186245,0.22336875954514718,1988-12-12T05:27:31,1.0,0.5699913354157058,1308.0000000000002,210.0,Indus_Water_Downstream,394.59488826324133,152.0,875,68.00000000000001,1121.5243542055657,43.0,5,82.45437421237646,779.1809352283633,74.99999999999999,55.354256,
1_1_LT05_152043_19881228,0.0,145.408951,854.5751871758164,0.0,1988-12-28T05:27:26,1.0,0.7285712044817583,1290.404577461137,213.0,Indus_Water_Downstream,613.6260209333105,152.0,875,68.0,1286.5313922866783,43.0,5,85.03890009258906,680.8512578166619,77.00000000000003,56.504028,
