system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_133049_19880106,4.0,138.562241,748.9999999999998,0.0,1988-01-06T03:30:59,1.0,0.0,1049.0,,Irawaddy_Water_Downstream,271.00000000000006,133.0,735,68.0,722.0000000000001,49.0,5,44.999999999999964,24.96282557981602,23.999999999999993,50.666515,
1_1_LT05_133049_19880207,0.0,130.015823,698.0,0.0,1988-02-07T03:31:34,1.0,0.0,1055.0000000000005,,Irawaddy_Water_Downstream,351.99999999999994,133.0,735,68.0,930.9999999999994,49.0,5,45.99999999999999,24.06950630542405,25.999999999999996,47.272026,
1_1_LT05_133049_19880223,0.0,124.183525,733.0000000000001,0.0,1988-02-23T03:31:48,1.0,0.0,1051.0000000000005,,Irawaddy_Water_Downstream,369.99999999999994,133.0,735,68.0,933.9999999999994,49.0,5,43.99999999999997,24.597293172478086,23.999999999999986,43.771454,
1_1_LT05_133049_19880411,0.0,99.550514,804.0,0.0,1988-04-11T03:32:11,1.0,0.0,971.9999999999998,,Irawaddy_Water_Downstream,453.0000000000001,133.0,735,68.0,655.9999999999998,49.0,5,140.0,28.775093160484438,82.99999999999999,32.440208,
1_1_LT05_133049_19880427,1.0,89.561501,377.0,0.0,1988-04-27T03:32:16,1.0,0.0,554.0,,Irawaddy_Water_Downstream,159.99999999999991,133.0,735,68.0,302.0,49.0,5,57.0,20.00004137160791,19.000000000000004,30.424557,
1_1_LT05_133049_19881020,15.0,131.544418,942.9999999999999,0.0,1988-10-20T03:32:38,1.0,0.0,1572.9999999999989,,Irawaddy_Water_Downstream,737.0000000000002,133.0,735,68.0,1637.0000000000005,49.0,5,84.0,24.779034592255012,56.00000000000007,38.305267,
1_1_LT05_133049_19881105,7.0,137.672897,830.9999999999999,0.0,1988-11-05T03:32:42,1.0,0.0,1221.9999999999998,,Irawaddy_Water_Downstream,348.9253706987523,133.0,735,68.0,801.9999999999998,49.0,5,76.00000000000001,29.214307883116902,52.99999999999998,41.908207,
1_1_LT05_133049_19881207,9.0,142.052261,1406.0000000000002,1.0,1988-12-07T03:32:34,1.0,0.0,1763.0000000000005,,Irawaddy_Water_Downstream,1265.0,133.0,735,224.0,1588.0000000000007,49.0,5,689.0,33.707366873088674,507.00000000000017,48.360073,
1_1_LT05_133049_19890108,7.0,138.228607,752.9999999999998,0.0,1989-01-08T03:32:22,1.0,0.0,1140.0000000000002,,Irawaddy_Water_Downstream,514.0000000000003,133.0,735,68.0,1109.9999999999995,49.0,5,52.99999999999997,24.390742082186183,27.999999999999996,50.460278,
1_1_LT05_133049_19890124,80.0,134.207977,3513.255833091296,1.0,1989-01-24T03:32:02,4.0,0.688569802153282,3653.415058696532,,Irawaddy_Water_Downstream,3819.765073190705,133.0,735,224.0,3539.535714285714,49.0,5,2891.7832001360316,254.11456419831885,2086.920326300294,49.256481,
