system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_167077_19840601,11.0,41.600216,306.00000000000006,0.0,1984-06-01T07:11:25,0.0,1.6675047202663187,512.0,218.0,Limpopo_Land_Upstream,2844.0,167.0,78,66.0,410.00000000000006,77.0,5,1116.0,226.82719291078632,400.0,59.55862,
1_1_LT05_167077_19841007,67.0,66.557899,20000.0,1.0,1984-10-07T07:13:29,0.0,1.8666948434052613,4749.0,156.0,Limpopo_Land_Upstream,5628.0,167.0,78,224.0,4759.0,77.0,5,3939.0000000000005,301.7972191268758,3148.0,38.701981,
1_1_LT05_167077_19841124,26.0,90.08371,20000.0,1.0,1984-11-24T07:13:16,0.0,0.6476579969392353,4171.0,132.0,Limpopo_Land_Upstream,4900.0,167.0,78,224.0,4154.0,77.0,5,4692.422698838249,6662.726074630574,3561.0,32.316341,
1_1_LT05_167077_19860506,14.0,46.459343,3913.4393063583816,1.0,1986-05-06T07:08:17,2.0,0.5716281233232811,4139.0,209.0,Limpopo_Land_Upstream,4684.0,167.0,78,224.0,4127.999999999999,77.0,5,3044.0000000000005,387.2446947976378,1617.0000000000002,55.699718,
1_1_LT05_167077_19860522,0.0,43.430996,338.0,0.0,1986-05-22T07:07:51,0.0,1.5311793463419092,604.7860520094563,216.0,Limpopo_Land_Upstream,2702.0,167.0,78,66.0,544.0000000000002,77.0,5,1449.0,351.5659436788022,621.0,58.611816,
1_1_LT05_167077_19861114,0.0,86.923904,417.0,0.0,1986-11-14T07:01:52,0.0,1.2470214348232402,682.0,143.0,Limpopo_Land_Upstream,2609.0,167.0,78,66.0,681.0000000000001,77.0,5,2119.0,462.46424973331074,1190.0,35.085339,
1_1_LT05_167077_19861216,6.0,96.543205,458.22397094431,0.0,1986-12-16T07:02:11,0.0,0.979742214079118,740.0,147.0,Limpopo_Land_Upstream,3048.9999999999995,167.0,78,66.0,676.0,77.0,5,1765.0,369.2751513568152,912.9999999999999,36.400196,
1_1_LT05_167077_19870117,59.0,93.637444,672.6880439761796,0.03648015775203352,1987-01-17T07:03:08,0.0,0.6322475900481002,901.9999999999999,160.0,Limpopo_Land_Upstream,2982.2,167.0,78,66.0,909.9999999999998,77.0,5,2094.5,499.3844246501575,1073.7179203539824,39.915165,
1_1_LT05_167077_19870202,29.0,88.219917,305.0,0.01883164900172541,1987-02-02T07:03:40,3.0,1.3453599612661442,357.15705412599823,166.0,Limpopo_Land_Upstream,991.0000000000001,167.0,78,66.0,297.0,77.0,5,475.00000000000006,494.27427325242314,215.99999999999997,41.699444,
1_1_LT05_167077_19870218,30.0,81.071838,192.99999999999997,1.0,1987-02-18T07:04:18,3.0,0.3496969665893811,251.0,172.0,Limpopo_Land_Upstream,726.0,167.0,78,72.0,198.99999999999997,77.0,5,291.0,55.600534717581624,141.0,43.471855,
