system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_167077_19840601,11.0,41.600216,391.0,0.0,1984-06-01T07:11:25,1.0,0.22612433149569627,632.0,220.0,Limpopo_Water_Upstream,340.0,167.0,37,68.0,566.0,77.0,5,115.0,108.08721419714696,99.0,59.55862,
1_1_LT05_167077_19841007,67.0,66.557899,20000.0,1.0,1984-10-07T07:13:29,0.0,1.8282740027338122,4644.0,159.0,Limpopo_Water_Upstream,5474.0,167.0,37,224.0,4602.0,77.0,5,3912.0,245.27140346696518,3148.0,38.701981,
1_1_LT05_167077_19841124,26.0,90.08371,542.0,1.0,1984-11-24T07:13:16,2.0,1.0945111746657614,550.0,136.0,Limpopo_Water_Upstream,693.0,167.0,37,96.0,511.0,77.0,5,466.0,314.5752478494335,291.0,32.316341,
1_1_LT05_167077_19860506,14.0,46.459343,4121.0,1.0,1986-05-06T07:08:17,4.0,0.9996347031841583,4337.0,211.0,Limpopo_Water_Upstream,4896.0,167.0,37,224.0,4305.0,77.0,5,3412.0,410.1215376881293,1933.0,55.699718,
1_1_LT05_167077_19860522,0.0,43.430996,448.0,0.0,1986-05-22T07:07:51,1.0,0.5459191858574095,777.0,218.0,Limpopo_Water_Upstream,390.0,167.0,37,68.0,745.0,77.0,5,193.0,182.8316632664278,97.0,58.611816,
1_1_LT05_167077_19861114,0.0,86.923904,386.0,0.0,1986-11-14T07:01:52,1.0,0.5617462078601765,549.0,147.0,Limpopo_Water_Upstream,282.0,167.0,37,68.0,505.0,77.0,5,209.0,161.1484395715115,125.0,35.085339,
1_1_LT05_167077_19861216,6.0,96.543205,666.0,0.0,1986-12-16T07:02:11,1.0,1.1891891891891893,1082.0,151.0,Limpopo_Water_Upstream,1835.0,167.0,37,66.0,1371.0,77.0,5,361.0,162.43260781570777,270.0,36.400196,
1_1_LT05_167077_19870117,59.0,93.637444,775.0,0.1746100519930676,1987-01-17T07:03:08,1.0,0.0,1120.0,164.0,Limpopo_Water_Upstream,681.0,167.0,37,68.0,1199.0,77.0,5,193.0,82.71300059539928,132.0,39.915165,
1_1_LT05_167077_19870202,29.0,88.219917,324.0,0.0,1987-02-02T07:03:40,1.0,0.16216216216216237,395.0,170.0,Limpopo_Water_Upstream,433.0,167.0,37,68.0,395.0,77.0,5,123.0,105.93662396937027,62.0,41.699444,
1_1_LT05_167077_19870218,30.0,81.071838,229.0,1.0,1987-02-18T07:04:18,1.0,0.0,290.0,175.0,Limpopo_Water_Upstream,232.0,167.0,37,72.0,233.0,77.0,5,68.0,29.625542253854462,22.0,43.471855,
