system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,955.0,1.0,1989-06-11T04:06:01,4.0,1.3474954339947423,1210.0,126.0,Mahanadi_Land_Midstream,1659.9999999999998,139.0,68,224.0,1122.0,46.0,5,1215.9999999999998,144.08962737821562,775.0,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,824.9999999999998,1.0,1990-03-10T03:58:41,1.0,1.5833257451405613,1107.0000000000002,175.0,Mahanadi_Land_Midstream,1568.0,139.0,68,96.0,949.0,46.0,5,855.0,661.8057403944387,542.0,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,1120.0,0.0,1990-05-29T03:58:09,0.0,0.9772498662256559,1388.0,131.0,Mahanadi_Land_Midstream,2207.0,139.0,68,66.0,1372.0000000000002,46.0,5,1534.0,175.3161522619769,963.0,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,564.0,0.0,1990-10-20T03:57:30,1.0,0.0,944.0000000000001,173.0,Mahanadi_Land_Midstream,841.0000000000001,139.0,68,68.0,946.0,46.0,5,256.0,97.31615174781346,137.00000000000003,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,545.0,0.0,1990-12-23T03:57:34,4.0,1.1738021207533755,680.7725602286648,208.0,Mahanadi_Land_Midstream,1451.0,139.0,68,66.0,626.4468766684464,46.0,5,899.9999999999999,238.35993607629953,463.99999999999994,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,527.0000000000001,0.6675091911764707,1991-01-08T03:57:59,4.0,1.127951721708509,739.0,209.0,Mahanadi_Land_Midstream,1544.0000000000005,139.0,68,96.0,633.9999999999999,46.0,5,886.9999999999998,228.9050814905164,426.00000000000006,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,565.0,0.0,1991-01-24T03:58:27,4.0,1.0640191155241019,723.0,205.0,Mahanadi_Land_Midstream,1575.0,139.0,68,66.0,663.0,46.0,5,919.0000000000001,223.3219761181176,458.0,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,565.0,0.0,1991-02-09T03:58:37,4.0,1.1976042983236665,732.0,197.0,Mahanadi_Land_Midstream,1545.0000000000002,139.0,68,66.0,678.0000000000001,46.0,5,1001.0,276.25273448990293,525.0000000000001,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,470.0,0.0,1991-02-25T03:59:00,4.0,1.1708505470213557,638.0,186.0,Mahanadi_Land_Midstream,1616.0,139.0,68,66.0,561.0,46.0,5,964.2605633802816,288.39600861570034,447.0,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,474.00000000000006,0.12040441176470587,1991-03-13T03:59:19,3.0,1.1789495940576593,641.0000000000001,172.0,Mahanadi_Land_Midstream,1233.0,139.0,68,66.0,540.7935684647304,46.0,5,488.8457943925234,291.80495564105524,220.99999999999997,42.356289,
1_1_LT05_139046_19910329,0.0,112.172256,545.0,0.0,1991-03-29T03:59:32,1.0,0.9135419112057267,729.0,157.0,Mahanadi_Land_Midstream,945.9999999999999,139.0,68,66.0,626.0,46.0,5,453.2235079171742,137.3772116105731,242.0,37.931301,
1_1_LT05_139046_19910430,19.0,94.936356,952.2185228604926,0.8793658088235295,1991-04-30T04:00:09,1.0,0.39542146058084554,1248.0,134.0,Mahanadi_Land_Midstream,898.0000000000001,139.0,68,96.0,1123.0,46.0,5,579.0392660550459,162.49844489540692,407.0,31.657257,
1_1_LT05_139046_19910516,20.0,86.746101,855.0,0.2911305147058823,1991-05-16T04:00:23,4.0,1.4613681554670435,1093.0,129.0,Mahanadi_Land_Midstream,1479.0,139.0,68,72.0,1079.0,46.0,5,948.9999999999999,148.1222725063883,583.0,30.503654,
1_1_LT05_139046_19910617,44.0,78.050102,875.0,0.0,1991-06-17T04:00:50,4.0,1.2397503655406323,1186.0,132.0,Mahanadi_Land_Midstream,2181.9999999999995,139.0,68,66.0,1101.0,46.0,5,1414.0,221.53576495841335,787.0000000000001,31.093346,
1_1_LT05_139046_19910820,38.0,97.842125,20000.0,1.0,1991-08-20T04:01:33,4.0,1.9438484284539184,5917.999999999999,140.0,Mahanadi_Land_Midstream,6481.999999999999,139.0,68,224.0,6092.0,46.0,5,5347.0,511.3406669546822,4049.0,33.343224,
1_1_LT05_139046_19911007,18.0,127.751015,1089.0,0.0,1991-10-07T04:02:00,1.0,0.12037283488047716,1389.0,160.0,Mahanadi_Land_Midstream,1165.0,139.0,68,68.0,1273.0000000000002,46.0,5,369.99999999999994,81.1607934563461,180.00000000000003,38.958229,
1_1_LT05_139046_19911023,6.0,135.191605,860.0000000000001,0.0,1991-10-23T04:02:06,1.0,1.016622231335551,1200.833078569245,172.0,Mahanadi_Land_Midstream,1499.0000000000002,139.0,68,66.0,1025.0,46.0,5,595.0,119.83872795550312,297.0,42.484463,
1_1_LT05_139046_19911108,6.0,140.229538,657.0,0.0,1991-11-08T04:02:08,1.0,0.9776923610938036,1033.9999999999998,184.0,Mahanadi_Land_Midstream,1365.0,139.0,68,66.0,952.502630320421,46.0,5,451.00000000000006,149.70549809265373,230.00000000000003,46.307304,
1_1_LT05_139046_19911124,0.0,142.875854,707.0,0.0,1991-11-24T04:02:13,2.0,1.2335421750300455,977.0,195.0,Mahanadi_Land_Midstream,1359.0,139.0,68,66.0,855.0000000000001,46.0,5,658.9999999999999,195.31030230597463,372.99999999999994,49.879608,
1_1_LT05_139046_19911226,17.0,142.023285,712.0,0.0,1991-12-26T04:02:19,4.0,1.2278310975668636,872.0,207.0,Mahanadi_Land_Midstream,1612.9999999999998,139.0,68,66.0,795.0000000000001,46.0,5,963.0,241.17485069398603,479.99999999999994,54.160755,
