system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,3761.0,1.0,1984-03-19T10:13:04,2.0,0.0,7873.0,181.0,Moulouya_Land_Upstream,8332.0,199.0,35,80.0,8228.0,36.0,5,3262.0,172.01886465128797,2701.0,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,3258.0,1.0,1984-04-14T10:11:59,2.0,0.4642307659791978,7915.0,151.0,Moulouya_Land_Upstream,8660.0,199.0,35,96.0,7317.0,36.0,5,5847.0,138.26134377936307,4256.0,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,694.0,0.0,1984-04-30T10:11:55,0.0,1.8070158058105024,1062.0,135.0,Moulouya_Land_Upstream,2599.0,199.0,35,66.0,1093.0,36.0,5,1818.0,771.0241924259719,1094.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,710.0,0.0,1984-06-01T10:12:51,0.0,1.272631854361148,1120.0,119.0,Moulouya_Land_Upstream,2610.0,199.0,35,66.0,1293.0,36.0,5,1833.0,561.5812922054132,1229.0,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,876.0,0.0,1984-07-03T10:13:20,0.0,0.0,1323.0,122.0,Moulouya_Land_Upstream,2428.0,199.0,35,66.0,1480.0,36.0,5,2152.0,518.3824952952903,1520.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,1083.0,0.0,1984-07-19T10:13:39,0.0,0.0,1548.0,127.0,Moulouya_Land_Upstream,2698.0,199.0,35,66.0,1828.0,36.0,5,2827.0,404.4590703542658,2170.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,3270.0,1.0,1984-08-20T10:14:44,0.0,0.0,4868.0,144.0,Moulouya_Land_Upstream,5689.0,199.0,35,224.0,5239.0,36.0,5,5951.0,152.21142653344063,4966.0,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,546.0,0.0,1984-09-05T10:14:53,0.0,1.7071279138616748,898.0,156.0,Moulouya_Land_Upstream,1957.0,199.0,35,66.0,991.0,36.0,5,1902.0,681.5986370590952,1215.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,20000.0,1.0,1984-09-21T10:14:55,2.0,0.0,6622.0,170.0,Moulouya_Land_Upstream,7185.0,199.0,35,224.0,6774.0,36.0,5,3303.0,23.391503777656688,2602.0,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,583.0,0.19921736036997512,1984-10-07T10:14:54,0.0,1.8726822409341646,857.0,184.0,Moulouya_Land_Upstream,1930.0,199.0,35,66.0,926.0,36.0,5,1803.0,762.3816945357918,1109.0,47.024979,
