system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_177038_19840420,0.0,119.614838,552.2788423934297,0.0,1984-04-20T07:56:48,0.0,0.6470437176332996,844.8173233695653,142.0,Nile_Land_Midstream,3040.0,177.0,178,66.0,785.1080261315911,38.0,5,1849.060197368421,268.12925797777814,1028.0296548371414,33.972095,
1_1_LT05_177038_19840506,9.0,112.947983,606.0,0.0,1984-05-06T07:56:57,0.0,0.4216104053773869,926.9482218041744,128.99999999999997,Nile_Land_Midstream,2976.0,177.0,178,66.0,896.0,38.0,5,2141.0,242.03151319011894,1154.8605414273993,30.385254,
1_1_LT05_177038_19840607,0.0,101.56839,560.9999999999999,0.0,1984-06-07T07:57:48,0.0,0.6673816811198875,848.0000000000002,117.99999999999999,Nile_Land_Midstream,2323.0000000000005,177.0,178,66.0,943.9999999999999,38.0,5,2101.0,393.56286887529694,1483.9999999999998,27.61417,
1_1_LT05_177038_19840709,0.0,101.206215,564.9607682206173,0.0,1984-07-09T07:58:13,0.0,1.6089008826668538,834.0,124.00000000000001,Nile_Land_Midstream,2031.0,177.0,178,66.0,902.0,38.0,5,1645.088052486188,354.8284431776402,1160.2250079339892,29.031384,
1_1_LT05_177038_19840725,0.0,105.885971,494.0,0.0,1984-07-25T07:58:42,4.0,1.9153266568655292,780.916132514675,128.99999999999997,Nile_Land_Midstream,2075.451481696688,177.0,178,66.0,736.0778269494888,38.0,5,1436.0,504.471715695364,842.0000000000001,30.5186,
1_1_LT05_177038_19840810,0.0,112.8797,434.3759525825571,0.0,1984-08-10T07:59:14,0.0,1.8764465446408496,721.2828251400124,136.99999999999997,Nile_Land_Midstream,2530.4307391091534,177.0,178,66.0,624.0,38.0,5,1595.5972101133393,367.6245527249114,863.0,32.470398,
1_1_LT05_177038_19840826,0.0,121.160835,634.0533766979147,0.0,1984-08-26T07:59:39,0.0,0.8764044943820224,864.9999999999999,145.99999999999997,Nile_Land_Midstream,2840.0,177.0,178,66.0,777.0000000000001,38.0,5,1604.9934929119217,218.966533207857,882.0000000000001,35.013779,
1_1_LT05_177038_19840911,0.0,129.635818,550.6241852101596,0.0,1984-09-11T07:59:44,0.0,0.5595742515629591,805.9852466574458,157.99999999999997,Nile_Land_Midstream,2936.3333333333335,177.0,178,66.0,755.0000000000001,38.0,5,1606.0,213.8051577939732,890.9999999999999,38.279148,
1_1_LT05_177038_19840927,19.0,137.308456,831.9999999999999,0.0,1984-09-27T07:59:45,0.0,0.6609187042630447,1097.0000000000005,170.99999999999994,Nile_Land_Midstream,3090.0,177.0,178,66.0,1006.0000000000001,38.0,5,1794.0,255.619318739536,974.0,42.255928,
1_1_LT05_177038_19841114,44.0,150.427963,722.0,1.0,1984-11-14T07:59:29,4.0,1.9219724329647998,934.0000000000002,210.99999999999994,Nile_Land_Midstream,1884.0,177.0,178,72.0,975.9999999999999,38.0,5,1505.9999999999998,373.3097185195814,913.9999999999999,55.665955,
