system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_233054_19920214,32.0,119.471024,684.3229341766573,0.2858858723219111,1992-02-14T13:46:13,1.0,0.3141674949115477,882.0955828734908,,Orinoco_Water_Downstream,817.4109274422591,233.0,15100,67.99999999999999,817.9999999999998,54.0,5,293.1840578024824,509.3989651347561,182.0,43.785995,
1_1_LT05_233054_20100725,34.0,65.984344,971.8432437820863,0.8693849515689659,2010-07-25T14:12:33,1.0,0.4773026404937869,1254.017895878525,,Orinoco_Water_Downstream,1348.310606213131,233.0,15100,224.0,1301.1962722287863,54.0,5,659.0,253.9782881808816,446.9999999999999,30.71384,
1_2_LE07_233054_19991023,76.0,130.140976,20000.0,0.9711931784848564,1999-10-23T14:14:57,2.0,0.7469013192065123,4019.6070187376954,,Orinoco_Water_Downstream,4276.136715278007,233.0,15100,223.99999999999994,3908.8946464080936,54.0,7,2115.962357719737,5505.398529698408,1261.4851485148515,30.851418,
1_2_LE07_233054_19991108,31.0,137.396088,820.3658373279198,0.8621339247749772,1999-11-08T14:15:01,1.0,0.954220527013969,1069.7878860993644,,Orinoco_Water_Downstream,678.6906576628022,233.0,15100,95.99999999999996,1219.798498214075,54.0,7,294.90269670268214,2986.8540124825145,271.68766923557587,34.255829,
1_2_LE07_233054_20000212,31.0,125.779053,472.550576776928,0.34877405132853695,2000-02-12T14:14:50,1.0,0.8078354580452132,686.6789840739199,,Orinoco_Water_Downstream,352.5060567338885,233.0,15100,68.0,694.374406464339,54.0,7,181.978575473432,1010.428812575777,167.98193544502627,38.150913,
1_2_LE07_233054_20000619,77.0,57.918514,20000.0,1.0,2000-06-19T14:13:56,2.0,0.04881275417303971,20000.0,,Orinoco_Water_Downstream,7904.153379997821,233.0,15100,224.0,20000.0,54.0,7,3910.274577228684,849.2888596880894,2642.4096512094907,30.685562,
1_2_LE07_233054_20000705,87.0,59.797737,1216.7049107328176,0.9115046613929092,2000-07-05T14:13:42,1.0,0.6144067315472188,1470.9717033366012,,Orinoco_Water_Downstream,1362.9999999999998,233.0,15100,224.0,1724.323022534376,54.0,7,818.7751119796453,749.2159925210021,640.0,31.128223,
1_2_LE07_233054_20000806,91.0,71.765739,20000.0,1.0,2000-08-06T14:13:12,2.0,0.0,20000.0,,Orinoco_Water_Downstream,7282.73535159413,233.0,15100,224.0,20000.0,54.0,7,3578.9597193647583,289.2520096483076,2582.5839166814503,29.662552,
1_2_LE07_233054_20000822,58.0,81.73748,20000.0,1.0,2000-08-22T14:13:06,2.0,0.981166842752526,20000.0,,Orinoco_Water_Downstream,5697.842571922653,233.0,15100,224.0,19999.999999999996,54.0,7,3384.1061089950194,6068.264581710024,2126.9932881615955,28.327869,
1_2_LE07_233054_20000907,34.0,94.123573,332.56477930516854,0.0,2000-09-07T14:12:50,1.0,0.0,524.6319045991689,,Orinoco_Water_Downstream,310.0000000000003,233.0,15100,68.0,673.9999999999993,54.0,7,82.59015139822363,44.088674305859506,66.63389101958383,27.397038,
1_2_LE07_233054_20000923,50.0,107.798172,1471.377745113305,1.0,2000-09-23T14:12:33,2.0,0.8161399039331326,1591.9319061334145,,Orinoco_Water_Downstream,1769.1916110114055,233.0,15100,224.0,1718.6906082024836,54.0,7,1026.910889970745,788.4667558897879,812.0000000000002,27.537632,
1_2_LE07_233054_20001009,36.0,120.666199,960.8173580175818,1.0,2000-10-09T14:12:28,1.0,0.8408918746035973,1196.3234521158129,,Orinoco_Water_Downstream,1202.0017164540984,233.0,15100,224.0,1297.0000000000002,54.0,7,625.7796564089342,465.88798828791835,478.99999999999994,29.122578,
1_2_LE07_233054_20001025,34.0,130.881104,687.7791336973603,0.6132832435423989,2000-10-25T14:12:23,1.0,0.7618172535639547,979.7661125502809,,Orinoco_Water_Downstream,616.9948897525683,233.0,15100,71.99999999999999,1215.3884185395984,54.0,7,208.3782231629528,1004.4379302511695,181.0000000000001,31.876122,
1_2_LE07_233054_20001212,23.0,141.238846,723.4246668172576,0.16966021698307673,2000-12-12T14:12:29,1.0,0.6543162820370061,1057.3457981821432,,Orinoco_Water_Downstream,748.464798660675,233.0,15100,68.0,1349.8127587188715,54.0,7,310.90374808008136,424.91493516086507,280.0,41.070618,
1_2_LE07_233054_20010129,41.0,130.592682,1340.1334681877574,0.7676392849744644,2001-01-29T14:12:36,1.0,1.1432066738158324,1715.9277364811435,,Orinoco_Water_Downstream,1338.7263848505181,233.0,15100,224.0,1725.7826677854334,54.0,7,1085.3173087915857,3934.023908198904,880.605115907274,40.767052,
1_2_LE07_233054_20010318,59.0,105.98671,20000.0,1.0,2001-03-18T14:12:20,2.0,0.40024752220547405,20000.0,,Orinoco_Water_Downstream,6067.711795960027,233.0,15100,224.0,20000.0,54.0,7,3386.4512701453855,3393.8934465284983,2025.6590394444563,31.473824,
1_2_LE07_233054_20010403,35.0,94.384048,749.0203028822666,0.023791093175421753,2001-04-03T14:12:09,1.0,0.06659957078557825,881.7627924566073,,Orinoco_Water_Downstream,673.1563052930773,233.0,15100,68.0,832.9107022348387,54.0,7,534.9999999999998,48.65436435893842,455.99999999999926,28.907764,
1_2_LE07_233054_20010521,58.0,63.318832,1235.7947157555432,0.6432864987558021,2001-05-21T14:11:57,1.0,0.9450949825902557,1836.3734778935386,,Orinoco_Water_Downstream,1078.9329823898775,233.0,15100,72.00000000000003,2009.0141508565703,54.0,7,572.0,753.8900123627544,467.9999999999998,28.885342,
1_2_LE07_233054_20010606,46.0,59.136295,1113.7283403634458,0.238895802539897,2001-06-06T14:11:45,1.0,0.4300112702678199,1650.9999999999982,,Orinoco_Water_Downstream,1214.9796028215642,233.0,15100,66.00000000000014,1982.4013205996632,54.0,7,534.999999999999,325.76091996096915,425.9999999999999,30.258762,
