system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19840607,71.0,39.837528,4416.549829919663,1.0,1984-06-07T13:12:24,0.0,0.7174864173114676,4869.5419324723825,235.99999999999983,Parana_Land_Midstream,5689.477449621495,225.0,1661,224.0,4994.519781144781,83.0,5,5474.14962006079,1675.9310879752388,4938.348793185045,67.737587,
1_1_LT05_225083_19840725,6.0,43.344799,321.0,0.0,1984-07-25T13:13:18,4.0,0.8158484679785759,541.0,233.0,Parana_Land_Midstream,1512.0000000000002,225.0,882,66.0,513.0,83.0,5,1037.0000000000002,217.07746469129697,582.0,66.062439,
1_1_LT05_225083_19840826,23.0,48.816509,344.00000000000006,0.0,1984-08-26T13:14:15,4.0,1.4912113371046651,566.0,215.99999999999994,Parana_Land_Midstream,1694.0000000000002,225.0,1577,66.0,599.0000000000001,83.0,5,1403.0,296.84324368723634,825.7219487694626,57.98624,
1_1_LT05_225083_19841013,29.0,61.427658,356.0711369505316,0.0,1984-10-13T13:14:19,0.0,1.7287940730016542,592.0000000000001,170.99999999999994,Parana_Land_Midstream,2730.054348462664,225.0,1778,66.0,496.00000000000006,83.0,5,1482.0,467.10953027796825,669.0000000000002,42.004684,
1_1_LT05_225083_19841130,83.0,80.204025,462.82496929511893,0.0,1984-11-30T13:14:08,0.0,0.22199289121000995,758.0439673931056,145.0,Parana_Land_Midstream,3518.9390178089584,225.0,1942,66.0,630.73584043849,83.0,5,1693.6679101265458,137.44580682974797,724.9476864598815,34.536121,
1_1_LT05_225083_19841216,94.0,83.958641,1989.5450970110116,1.0,1984-12-16T13:14:20,0.0,1.4308395154431797,2171.0,146.99999999999994,Parana_Land_Midstream,3998.1771013775456,225.0,1942,223.99999999999994,2123.0,83.0,5,1949.0,299.760533907125,1275.0000000000002,35.252548,
1_1_LT05_225083_19850101,7.0,84.697449,526.407394609537,0.0,1985-01-01T13:14:28,0.0,1.0646185883842412,789.0113459700766,154.00000000000003,Parana_Land_Midstream,3217.7990580847722,225.0,1942,66.0,686.0091719788418,83.0,5,1626.645559868441,249.19313658149463,703.0000000000001,37.029823,
1_1_LT05_225083_19850202,42.0,77.798775,353.00000000000006,0.0,1985-02-02T13:14:38,0.0,0.7608111110489727,602.0000000000005,170.99999999999994,Parana_Land_Midstream,3241.999999999999,225.0,1942,66.0,477.61706334976066,83.0,5,1450.8460225781046,353.69527428624133,602.0,42.063713,
1_1_LT05_225083_19850218,9.0,71.538635,336.0000000000001,0.0,1985-02-18T13:14:40,0.0,0.5681277695755901,580.0000000000005,179.99999999999997,Parana_Land_Midstream,3292.1321369343755,225.0,1942,66.0,447.0000000000002,83.0,5,1444.0000000000005,323.6044162908607,608.9999999999999,44.974365,
1_1_LT05_225083_19850509,3.0,42.293404,339.0,0.0,1985-05-09T13:14:19,4.0,1.7026312866936526,564.4876898033456,226.99999999999997,Parana_Land_Midstream,2166.9999999999995,225.0,1931,66.0,487.0000000000001,83.0,5,1157.4255078266008,174.67739272144877,516.0,62.738949,
1_1_LT05_225083_19850610,0.0,39.358093,302.0,0.0,1985-06-10T13:14:20,4.0,1.504834037167296,488.00000000000034,235.99999999999983,Parana_Land_Midstream,1905.7928074550464,225.0,1939,66.0,477.0000000000004,83.0,5,1187.883589028359,257.2037010010737,552.0000000000001,67.714172,
1_1_LT05_225083_19850728,27.0,43.538948,6946.388795008449,1.0,1985-07-28T13:14:03,2.0,0.9286611781018298,7191.6,231.9999999999999,Parana_Land_Midstream,7306.039796390561,225.0,1942,224.0,7126.107142857143,83.0,5,5208.734898785424,1981.9873416299872,3341.981048920229,65.431381,
1_1_LT05_225083_19850813,0.0,46.203903,253.00000000000034,0.0,1985-08-13T13:13:54,4.0,1.7375530036484772,468.1764856242132,224.99999999999994,Parana_Land_Midstream,1765.892932388431,225.0,1942,66.0,466.12623199963923,83.0,5,1210.9999999999998,239.9629845929648,630.0,61.794342,
1_1_LT05_225083_19850930,24.0,57.240284,386.5712429944697,0.7186925842905568,1985-09-30T13:13:21,0.0,1.8483526983739704,634.9598676421481,183.99999999999994,Parana_Land_Midstream,2388.931763446615,225.0,1942,72.0,560.380044524441,83.0,5,1490.9392275476966,684.6786450807531,753.0001244671251,46.302742,
1_1_LT05_225083_19851016,43.0,62.612297,544.4202148738499,0.006835817094393703,1985-10-16T13:13:10,0.0,1.5560741985143143,745.3129466511554,168.99999999999997,Parana_Land_Midstream,2897.766699410609,225.0,1942,66.0,602.6485358321801,83.0,5,1507.821746660069,200.75663442094628,679.0,41.374962,
