system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19890317,0.0,59.860847,413.0000000000001,0.0,1989-03-17T13:13:19,1.0,0.19288294629135672,788.0,196.99999999999997,Parana_Water_Downstream,480.0,225.0,859,68.0,958.9999999999999,83.0,5,55.0,67.67901244456802,28.999999999999996,50.7276,
1_1_LT05_225083_19890707,34.0,41.302761,498.99999999999994,0.0,1989-07-07T13:11:45,1.0,0.21778946958402917,901.1484727291273,236.99999999999994,Parana_Water_Downstream,407.0,225.0,711,68.0,965.0000000000001,83.0,5,44.0,76.18596717113492,57.0,68.429443,
1_1_LT05_225083_19891230,7.0,85.937973,646.8663817845525,0.32447360715521595,1989-12-30T13:07:14,1.0,0.5354126134736337,1192.0000000000002,158.0,Parana_Water_Downstream,632.9999999999999,225.0,300,68.0,1349.0,83.0,5,67.73618132794067,562.8456762934421,58.99999999999999,38.253609,
1_1_LT05_225083_19900216,11.0,74.235466,708.0,0.06780279531438163,1990-02-16T13:05:41,1.0,0.3930175694766779,1030.0,184.99999999999997,Parana_Water_Downstream,693.0,225.0,220,68.0,1165.0000000000002,83.0,5,163.0,184.53606307272344,108.37175149930799,46.359463,
1_1_LT05_225083_19911102,9.0,70.330872,693.6573144903055,0.43589502987082074,1991-11-02T13:08:22,1.0,0.7979190812080402,1150.0,157.99999999999994,Parana_Water_Downstream,817.0,225.0,1263,68.00000000000003,1285.0120099465637,83.0,5,269.0,822.0899693930934,239.00000000000003,38.417351,
1_1_LT05_225083_19920325,3.0,57.59856,717.9999999999998,0.0,1992-03-25T13:08:19,1.0,0.31206668731271625,1316.0000000000002,205.0,Parana_Water_Downstream,1336.9976981758975,225.0,1281,66.0,1674.6403179261772,83.0,5,129.00000000000003,81.18473170913884,81.99721295746335,53.543842,
1_1_LT05_225083_19920731,55.0,45.517178,706.0,0.0,1992-07-31T13:07:01,1.0,,890.0,232.99999999999991,Parana_Water_Downstream,652.0,225.0,0,68.0,895.0,83.0,5,190.0,,199.0,65.831642,
1_1_LT05_225083_19921003,41.0,60.050205,579.0000000000001,0.0,1992-10-03T13:05:55,1.0,0.2881690091973698,899.0,184.99999999999997,Parana_Water_Downstream,730.5320692843062,225.0,345,68.0,904.0058843890619,83.0,5,221.9500824499411,81.35005994913718,108.80556694357537,46.557961,
1_1_LT05_225083_19930107,26.0,85.625343,487.0,0.0,1993-01-07T13:05:46,1.0,0.0,815.0,162.99999999999997,Parana_Water_Downstream,543.0,225.0,5,68.0,889.0,83.0,5,122.0,20.204949888579268,23.0,39.746811,
1_1_LT05_225083_19930718,39.0,43.607208,796.0,0.0,1993-07-18T13:06:37,1.0,0.0,1228.0,236.99999999999994,Parana_Water_Downstream,754.0,225.0,2,68.0,1170.0,83.0,5,220.0,29.0,227.0,68.072403,
