system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,829.9999999999999,0.46740952122118035,1984-04-22T09:19:44,0.0,1.8505390158618948,1091.0,162.0,Po_Land_Downstream,1740.1264587717621,191.0,87,130.0,1108.0000000000002,29.0,5,1725.0,251.5347584477321,1067.0,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,767.0,0.04670018571363862,1984-05-24T09:20:26,0.0,1.2376487153929019,994.0,135.0,Po_Land_Downstream,3021.0000000000005,191.0,87,66.0,780.0000000000001,29.0,5,1511.9999999999998,449.9300020425512,682.9999999999998,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,762.9861849096707,0.0,1984-06-09T09:20:47,0.0,1.2275732919377458,918.9999999999999,130.0,Po_Land_Downstream,2870.146888567294,191.0,87,66.0,722.0000000000001,29.0,5,1431.9999999999998,407.3294923833848,573.9999999999999,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,570.0,0.0,1984-06-25T09:21:01,0.0,1.029618192025687,824.0,130.0,Po_Land_Downstream,3951.9999999999995,191.0,87,66.0,610.9999999999999,29.0,5,1812.9999999999998,480.18275520756856,745.0,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,722.9999999999999,0.8717217013181139,1984-07-11T09:21:10,0.0,1.1622275549208771,956.0,136.0,Po_Land_Downstream,3835.0000000000005,191.0,87,96.0,720.0,29.0,5,1765.0000000000002,438.3154302958779,701.9999999999999,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,20000.0,1.0,1984-08-28T09:22:37,0.0,1.9988105856813019,6131.0,170.0,Po_Land_Downstream,6408.999999999999,191.0,87,224.0,6164.999999999999,29.0,5,5868.0,741.3379781760241,4871.999999999999,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,1162.0000000000002,0.19540698464465273,1984-09-29T09:22:41,0.0,1.443707445343226,1407.0,200.0,Po_Land_Downstream,2251.0,191.0,87,66.0,1206.9999999999998,29.0,5,1878.0,341.8782622537031,1258.0,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,1022.0000000000001,0.0857906418444535,1984-10-15T09:22:39,0.0,1.7066546521574726,1119.0,214.0,Po_Land_Downstream,2058.610687022901,191.0,87,66.0,988.0,29.0,5,1868.9999999999998,501.8786437719605,910.0,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,948.293664996421,1.0,1984-10-31T09:22:33,0.0,1.7648825487511939,1119.0,226.0,Po_Land_Downstream,1774.0,191.0,87,160.0,1146.0,29.0,5,1747.9999999999998,331.01302173409636,1052.0,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1177.0,0.8870317525026046,1985-02-20T09:23:01,0.0,1.0598424190559093,1236.0,224.0,Po_Land_Downstream,1373.0000000000005,191.0,87,96.0,1211.0,29.0,5,1367.0,412.1779371454368,759.9999999999999,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,20000.0,1.0,1985-03-24T09:22:58,4.0,0.8693181793650133,6629.0,194.0,Po_Land_Downstream,6491.0,191.0,87,224.0,6565.0,29.0,5,5831.0,1414.6667531471974,4893.633802816901,49.632679,
1_1_LT05_191029_19850425,17.0,137.00769,516.9619079165286,0.0,1985-04-25T09:22:48,4.0,0.6347908630567399,726.0,158.0,Po_Land_Downstream,1564.0,191.0,87,66.0,711.9999999999999,29.0,5,1321.0,251.83407508521478,728.0,38.268681,
1_1_LT05_191029_19850511,3.0,133.416702,498.2155992390614,0.16220500973864196,1985-05-11T09:22:40,4.0,1.2181739125969446,665.0000000000001,143.0,Po_Land_Downstream,2267.0,191.0,87,66.0,526.1737432894096,29.0,5,1361.9999999999998,86.03891680002701,634.0,34.076767,
1_1_LT05_191029_19850730,3.0,129.187225,543.0,0.0,1985-07-30T09:22:23,0.0,1.1530975819755818,804.0,146.0,Po_Land_Downstream,4181.0,191.0,87,66.0,549.0,29.0,5,2005.9999999999995,493.87813460180547,776.0,35.029179,
1_1_LT05_191029_19850831,0.0,139.380798,594.0,0.0,1985-08-31T09:22:03,0.0,0.9970229168828249,795.0,173.0,Po_Land_Downstream,3230.5907059874885,191.0,87,66.0,580.0,29.0,5,1841.0,486.6699468884291,771.9999999999999,42.719231,
1_1_LT05_191029_19850916,52.0,144.76947,20000.0,1.0,1985-09-16T09:21:50,2.0,0.0,6184.0,188.0,Po_Land_Downstream,6107.000000000001,191.0,87,224.0,5973.0,29.0,5,3687.0000000000005,106.06011028808146,2874.0000000000005,47.539516,
1_1_LT05_191029_19851018,1.0,153.134125,512.0,0.4145943742356297,1985-10-18T09:21:30,0.0,1.667181846655114,627.0,216.0,Po_Land_Downstream,2166.0,191.0,87,66.0,613.0,29.0,5,2110.0,533.880760224786,990.0000000000002,58.09642,
1_1_LT05_191029_19860223,80.0,145.061676,5933.61273051755,1.0,1986-02-23T09:19:04,4.0,0.6379051460005332,6062.142857142857,223.0,Po_Land_Downstream,5884.262380538662,191.0,87,224.0,5999.0,29.0,5,4984.41975308642,529.8364460211312,3843.33304272014,61.069839,
1_1_LT05_191029_19860327,0.0,140.460175,512.0,0.0,1986-03-27T09:18:25,4.0,1.2639497741509216,731.0,193.0,Po_Land_Downstream,1204.0000000000002,191.0,87,66.0,789.0000000000001,29.0,5,1334.0,438.5177871533692,768.0000000000001,49.097374,
1_1_LT05_191029_19860412,51.0,137.779846,4055.6351441985253,1.0,1986-04-12T09:18:04,2.0,0.0,4185.0,175.0,Po_Land_Downstream,3908.0000000000005,191.0,87,224.0,4012.0,29.0,5,2365.0,116.05938771627763,1802.9999999999998,43.228519,
1_1_LT05_191029_19860514,30.0,130.653168,500.0,0.6484123748697739,1986-05-14T09:17:16,4.0,1.5493809468739876,682.0,144.0,Po_Land_Downstream,2281.0,191.0,87,96.0,541.0131757172761,29.0,5,1292.0,205.58595690957387,601.0,34.316444,
1_1_LT05_191029_19860530,28.0,126.597046,576.0000000000001,0.21864383747791816,1986-05-30T09:16:49,0.0,1.8687265685426737,782.6739263803679,135.0,Po_Land_Downstream,2647.9999999999995,191.0,87,66.0,635.9999999999999,29.0,5,1468.0,120.43104751012663,649.0000000000001,31.975666,
