system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,737.0,0.408234622520337,1984-04-22T09:19:44,0.0,1.5181200986925538,1011.9999999999997,161.99999999999997,Po_Land_Midstream,2457.3330427201395,191.0,166,96.0,924.0,29.0,5,1836.0,492.35978272669996,1066.0,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,1195.79,0.9878692735835592,1984-05-24T09:20:26,0.0,1.1539250580641678,1377.0,134.99999999999997,Po_Land_Midstream,2059.0,191.0,166,160.0,1310.0,29.0,5,1189.0,1176.2128522009452,826.0,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,856.0,0.0,1984-06-09T09:20:47,0.0,1.653853100167679,1075.0,130.0,Po_Land_Midstream,2650.0,191.0,166,66.0,889.9999999999999,29.0,5,1108.0,328.6357773058457,468.0,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,787.9999999999999,0.9005756148613291,1984-06-25T09:21:01,0.0,1.0746555720953137,1067.0,129.99999999999997,Po_Land_Midstream,3589.215020576132,191.0,166,96.0,886.5763040238451,29.0,5,1871.0,240.35141628379006,958.0,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,743.9999999999999,0.41739213167784617,1984-07-11T09:21:10,0.0,0.532851671987855,998.0,136.0,Po_Land_Midstream,3765.0,191.0,166,96.0,788.9999999999999,29.0,5,1767.9999999999998,223.86469667389807,778.0,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,20000.0,1.0,1984-08-28T09:22:37,0.0,0.0,5819.000000000001,169.99999999999994,Po_Land_Midstream,6842.000000000001,191.0,166,224.0,5745.000000000001,29.0,5,6109.999999999999,480.5010115800828,5255.0,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,3912.7645611156686,1.0,1984-09-29T09:22:41,0.0,0.6133938342823063,4426.0,199.99999999999997,Po_Land_Midstream,5663.0,191.0,166,224.0,4558.5,29.0,5,5186.0,4057.4103207046137,4139.0,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,820.6548293280267,0.0,1984-10-15T09:22:39,0.0,1.8389584106225512,938.3360901645989,214.0,Po_Land_Midstream,2769.4483516483515,191.0,166,66.0,779.9999999999999,29.0,5,1522.2038369304553,309.0643809759367,633.0,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,1384.0000000000002,1.0,1984-10-31T09:22:33,0.0,0.553299397744821,1539.9999999999995,225.99999999999994,Po_Land_Midstream,2849.0,191.0,166,224.0,1388.0,29.0,5,1796.0,362.74702836855346,1054.0000000000002,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1306.0,0.47433518862090307,1985-02-20T09:23:01,0.0,0.7438966349654006,1374.9999999999998,223.99999999999994,Po_Land_Midstream,1751.0000000000002,191.0,166,66.0,1328.4748257164988,29.0,5,1666.0,411.17568265766863,1065.5157720891825,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,1020.0000000000001,1.0,1985-03-24T09:22:58,1.0,0.632271892212141,980.0000000000001,193.99999999999997,Po_Land_Midstream,937.0,191.0,166,72.0,798.9999999999998,29.0,5,442.0,322.59464679412076,240.99999999999997,49.632679,
1_1_LT05_191029_19850425,17.0,137.00769,529.0,0.0,1985-04-25T09:22:48,0.0,1.7739097207830927,804.9999999999997,157.99999999999994,Po_Land_Midstream,2646.9999999999995,191.0,166,66.0,674.0,29.0,5,1618.0,437.6129562412084,882.0,38.268681,
1_1_LT05_191029_19850511,3.0,133.416702,538.9999999999999,0.30486180486180503,1985-05-11T09:22:40,0.0,1.5645611677253375,787.9999999999999,142.99999999999997,Po_Land_Midstream,3135.9999999999995,191.0,166,66.0,598.0,29.0,5,1547.0,452.1324787518418,709.0,34.076767,
1_1_LT05_191029_19850730,3.0,129.187225,477.00000000000006,0.0,1985-07-30T09:22:23,0.0,0.6133938342823063,732.5179636917608,146.0,Po_Land_Midstream,4021.5981087470445,191.0,166,66.0,520.5294117647059,29.0,5,1792.6666666666667,206.97303698526213,698.9999999999999,35.029179,
1_1_LT05_191029_19850831,0.0,139.380798,698.0,0.0,1985-08-31T09:22:03,0.0,0.30952367659434044,850.9999999999999,172.99999999999997,Po_Land_Midstream,3543.0,191.0,166,66.0,669.0,29.0,5,1661.0,178.63536966919526,686.9999999999997,42.719231,
1_1_LT05_191029_19850916,52.0,144.76947,20000.0,1.0,1985-09-16T09:21:50,2.0,0.0,20000.0,187.99999999999994,Po_Land_Midstream,19999.999999999993,191.0,166,224.0,9346.811500615006,29.0,5,4104.0,306.71041227771434,3421.0,47.539516,
1_1_LT05_191029_19851018,1.0,153.134125,480.4564631539819,0.05639598496741354,1985-10-18T09:21:30,0.0,1.7861928313846254,665.0000000000001,215.99999999999994,Po_Land_Midstream,2606.9999999999995,191.0,166,66.0,542.0,29.0,5,1645.75,398.5567237887532,710.0,58.09642,
1_1_LT05_191029_19860223,80.0,145.061676,20000.0,1.0,1986-02-23T09:19:04,4.0,0.8694755928996971,6674.122203098107,222.99999999999994,Po_Land_Midstream,6570.416666666665,191.0,166,224.0,6540.886255924172,29.0,5,5292.107091172214,417.1067440003224,4035.9999999999995,61.069839,
1_1_LT05_191029_19860327,0.0,140.460175,548.7750631844988,0.0,1986-03-27T09:18:25,0.0,1.7549465581541408,788.302071772105,192.99999999999997,Po_Land_Midstream,1667.0,191.0,166,66.0,837.6000722543351,29.0,5,1705.648275862069,603.3372405591674,1077.2777777777776,49.097374,
1_1_LT05_191029_19860412,51.0,137.779846,20000.0,1.0,1986-04-12T09:18:04,2.0,0.0,5045.999999999999,174.99999999999997,Po_Land_Midstream,5260.999999999999,191.0,166,224.0,4881.999999999999,29.0,5,3072.9999999999995,107.4554965320051,2557.0,43.228519,
1_1_LT05_191029_19860514,30.0,130.653168,585.0000000000001,0.9219589933875647,1986-05-14T09:17:16,1.0,1.8513097920123662,836.0,143.99999999999997,Po_Land_Midstream,2449.9211822660095,191.0,166,95.99999999999999,674.6581769436997,29.0,5,1349.1180836707154,410.62112598046656,677.0746730901582,34.316444,
1_1_LT05_191029_19860530,28.0,126.597046,561.9999999999999,0.0,1986-05-30T09:16:49,0.0,1.726563195313689,804.2913193738565,134.99999999999997,Po_Land_Midstream,2971.6,191.0,166,66.0,651.0,29.0,5,1526.6190239043824,271.85830156547047,724.2600870253164,31.975666,
1_1_LT05_191029_19860615,24.0,123.665016,550.0,0.0,1986-06-15T09:16:19,0.0,1.1810455669241176,817.0,131.99999999999997,Po_Land_Midstream,3387.0,191.0,166,66.0,604.0,29.0,5,1658.0,227.96496434175884,740.0,31.286133,
1_1_LT05_191029_19860701,2.0,122.604111,500.99999999999994,0.0,1986-07-01T09:15:48,0.0,0.9057805363475905,766.5345662354157,134.99999999999997,Po_Land_Midstream,3560.3333333333335,191.0,166,66.0,520.0,29.0,5,1660.9999999999998,208.16320567974503,740.0,32.001114,
1_1_LT05_191029_19860717,4.0,123.927223,699.0000000000001,0.0,1986-07-17T09:15:16,0.0,0.43640410304276706,941.9999999999998,141.99999999999997,Po_Land_Midstream,3876.39729501268,191.0,166,66.0,726.0,29.0,5,1695.0000000000002,188.54289132236127,700.0,33.879356,
1_1_LT05_191029_19860818,1.0,132.171661,552.0000000000001,0.0,1986-08-18T09:14:06,0.0,0.6133938342823063,807.9999999999997,164.99999999999997,Po_Land_Midstream,3801.984664536742,191.0,166,66.0,602.9999999999999,29.0,5,1715.0,180.36687996336627,746.1626488241661,40.260567,
1_1_LT05_191029_19860903,0.0,137.610764,624.0,0.0,1986-09-03T09:13:30,0.0,0.532851671987855,776.4959903258655,178.99999999999997,Po_Land_Midstream,3688.267015706807,191.0,166,66.0,556.9999999999999,29.0,5,1604.5668853110712,197.72710446113132,659.0000000000001,44.524059,
1_1_LT05_191029_19860919,65.0,142.921936,20000.0,1.0,1986-09-19T09:13:00,2.0,0.0,10978.390249591788,193.0,Po_Land_Midstream,10840.477886977887,191.0,166,224.0,20000.0,29.0,5,6354.999999999999,875.5974680834189,4676.0,49.360584,
1_1_LT05_191029_19861106,86.0,153.167145,4337.89726991275,1.0,1986-11-06T09:11:23,2.0,0.0,4492.0,230.99999999999997,Po_Land_Midstream,4692.690111153699,191.0,166,224.0,4384.0,29.0,5,2892.0,134.2916049405061,2451.0,64.756058,
1_1_LT05_191029_19861208,18.0,153.739197,2720.9999999999995,1.0,1986-12-08T09:11:08,0.0,1.636293621332265,2851.6993654604703,241.99999999999991,Po_Land_Midstream,3159.257581884351,191.0,166,224.0,2862.0000000000005,29.0,5,2931.2985948477753,601.313121205881,2165.479966611018,71.726227,
1_1_LT05_191029_19861224,41.0,152.415054,712.9999999999998,0.008610437181865755,1986-12-24T09:11:39,1.0,0.22644513408689768,654.9999999999999,244.00000000000003,Po_Land_Midstream,783.9999999999998,191.0,166,66.0,654.9999999999998,29.0,5,395.00000000000006,100.19456920591908,167.00000000000006,72.957962,
1_1_LT05_191029_19870109,6.0,150.374725,878.7272992416878,0.33918462489891077,1987-01-09T09:12:07,4.0,1.6222277512884464,1081.0,242.99999999999997,Po_Land_Midstream,1642.7809714238106,191.0,166,66.0,1028.8374859442506,29.0,5,1320.9835433273336,352.36701219908235,846.097079391197,72.363609,
1_1_LT05_191029_19870226,7.0,143.464264,786.8403263403263,0.7123352837638555,1987-02-26T09:13:48,0.0,1.7306779146966191,902.2726545842216,221.99999999999997,Po_Land_Midstream,1594.7682893663311,191.0,166,96.0,951.0000000000001,29.0,5,1686.4817073170734,533.719890864567,1109.5366052060738,60.610317,
1_1_LT05_191029_19870314,40.0,141.340485,1441.0,1.0,1987-03-14T09:14:24,0.0,1.1905327665603067,1484.9999999999995,207.99999999999997,Po_Land_Midstream,1641.8118377232815,191.0,166,72.0,1375.0,29.0,5,1550.0,354.5088346750748,1025.0,54.580601,
1_1_LT05_191029_19870501,83.0,133.524002,2185.0,1.0,1987-05-01T09:16:00,0.0,0.8039855720820661,2366.9999999999995,155.0,Po_Land_Midstream,3238.0,191.0,166,224.0,2193.0,29.0,5,2011.0,72.98532081675569,1442.9999999999998,37.530956,
1_1_LT05_191029_19870602,20.0,126.297462,653.0,0.9013367584796157,1987-06-02T09:16:51,0.0,0.532851671987855,845.9999999999998,134.0,Po_Land_Midstream,3585.175690211545,191.0,166,72.0,648.9999999999998,29.0,5,1496.9999999999998,124.59614787513132,662.0,31.636852,
1_1_LT05_191029_19870618,35.0,123.842628,1034.9999999999998,1.0,1987-06-18T09:17:12,0.0,0.30952367659434044,1200.9999999999998,131.99999999999997,Po_Land_Midstream,4250.590277777777,191.0,166,224.0,993.0,29.0,5,1900.7223796033995,428.8138470599991,900.9999999999998,31.044498,
1_1_LT05_191029_19870704,15.0,123.477341,892.0000000000002,0.8643023643023643,1987-07-04T09:17:32,0.0,0.0,1117.9999999999998,134.99999999999997,Po_Land_Midstream,4854.857780256553,191.0,166,160.0,834.9999999999999,29.0,5,1967.0,144.41857842654974,816.0000000000001,31.845943,
1_1_LT05_191029_19870720,4.0,125.485214,373.00000000000006,0.0,1987-07-20T09:17:50,0.0,0.43640410304276706,590.0722838463233,141.99999999999997,Po_Land_Midstream,4480.0,191.0,166,66.0,399.9999999999999,29.0,5,1780.0000000000002,210.9448899328087,673.9999999999998,33.761436,
1_1_LT05_191029_19870821,19.0,134.798828,2398.0,1.0,1987-08-21T09:18:48,0.0,0.0,2556.0,164.99999999999997,Po_Land_Midstream,3714.9999999999995,191.0,166,224.0,2388.0,29.0,5,2553.0,365.5791921589432,1794.0000000000002,40.238071,
1_1_LT05_191029_19870922,9.0,145.925476,20000.0,1.0,1987-09-22T09:19:35,0.0,1.5588331556275536,5234.0,193.99999999999994,Po_Land_Midstream,5617.000000000001,191.0,166,224.0,5260.0,29.0,5,5201.999999999999,719.5080898927444,4118.000000000001,49.470146,
1_1_LT05_191029_19871008,77.0,150.506592,20000.0,1.0,1987-10-08T09:19:55,2.0,0.0,5714.0,208.0,Po_Land_Midstream,5913.999999999998,191.0,166,224.0,5645.999999999998,29.0,5,3215.9999999999995,95.87487933772718,2704.0,54.698841,
1_1_LT05_191029_19871024,57.0,153.87355,3023.0000000000005,1.0,1987-10-24T09:20:09,0.0,1.4202565810401326,2962.0,221.0,Po_Land_Midstream,3080.798578199052,191.0,166,224.0,2801.9999999999995,29.0,5,2850.0,824.8115494923269,2387.0,59.903225,
1_1_LT05_191029_19871211,2.0,155.871857,956.9999999999999,0.490366776081062,1987-12-11T09:21:02,4.0,1.7364451300430332,1010.9999999999997,240.99999999999997,Po_Land_Midstream,1616.0,191.0,166,66.0,976.0000000000001,29.0,5,1227.0,297.71443635596194,695.0,71.256729,
1_1_LT05_191029_19880112,83.0,152.084412,5722.613369467029,1.0,1988-01-12T09:21:34,2.0,0.21820205152138292,5659.804878048781,240.99999999999997,Po_Land_Midstream,5357.0,191.0,166,224.0,5370.363636363636,29.0,5,3612.4,820.6994360996497,2289.732142857143,71.240448,
1_1_LT05_191029_19880519,93.0,131.419525,2741.0000000000005,1.0,1988-05-19T09:22:59,4.0,0.9674631277052881,2895.9999999999995,136.99999999999997,Po_Land_Midstream,3795.0000000000005,191.0,166,224.0,2683.0,29.0,5,1814.9999999999998,47.62718912094799,1291.0,32.443722,
1_1_LT05_191029_19880604,29.0,127.808205,586.2007279144148,0.41770134627277505,1988-06-04T09:23:05,0.0,1.0170023607213876,846.5329315272771,129.99999999999997,Po_Land_Midstream,3698.516861219196,191.0,166,66.0,630.9999999999999,29.0,5,1643.1360362763405,216.1283663716355,756.0,30.569103,
1_1_LT05_191029_19880620,6.0,125.504616,644.3415805909199,0.3673231530374389,1988-06-20T09:23:11,0.0,0.7465991992688996,864.0867247007618,129.0,Po_Land_Midstream,3956.641652613828,191.0,166,66.0,590.9999999999999,29.0,5,1688.0,248.00316311331784,701.0,30.267605,
1_1_LT05_191029_19880706,5.0,125.392433,450.33635247159964,0.0,1988-07-06T09:23:15,0.0,0.4925412608081584,740.6245150466602,132.99999999999997,Po_Land_Midstream,3815.7696011004127,191.0,166,66.0,538.813887665891,29.0,5,1650.0,206.5465186428424,698.7687662501047,31.331017,
1_1_LT05_191029_19880722,5.0,127.643242,890.1000367782273,0.762475619618477,1988-07-22T09:23:18,0.0,0.30952367659434044,1050.9999999999998,140.99999999999994,Po_Land_Midstream,3912.286912751678,191.0,166,159.99999999999994,822.9555328191403,29.0,5,1800.0,200.38061447909996,776.0,33.501026,
1_1_LT05_191029_19880807,0.0,131.815323,472.99999999999983,0.0,1988-08-07T09:23:18,0.0,0.6902258114410845,699.0,151.99999999999997,Po_Land_Midstream,3565.9999999999995,191.0,166,66.0,483.9999999999999,29.0,5,1611.0,231.31704773177805,663.0,36.567101,
1_1_LT05_191029_19880823,76.0,137.067993,431.0,0.0,1988-08-23T09:23:21,0.0,0.8330913666228513,630.8420849122264,164.99999999999997,Po_Land_Midstream,3654.4,191.0,166,66.0,480.1482142857142,29.0,5,1555.0,259.56172905274747,617.8815418023886,40.432762,
1_1_LT05_191029_19880908,15.0,142.628464,549.9999999999999,0.0,1988-09-08T09:23:22,0.0,1.1804769844738208,692.5301821158175,180.0,Po_Land_Midstream,3369.8941093969142,191.0,166,66.0,522.9999999999999,29.0,5,1575.0000000000002,260.5506373719422,617.0000000000001,44.967354,
1_1_LT05_191029_19880924,12.0,147.76683,1824.9999999999998,1.0,1988-09-24T09:23:16,0.0,1.096915005216399,1809.9999999999993,194.99999999999997,Po_Land_Midstream,3387.9999999999995,191.0,166,136.0,1504.9999999999993,29.0,5,1797.0000000000002,255.11284977417617,801.0,50.027802,
1_1_LT05_191029_19881026,46.0,155.015076,2940.0,1.0,1988-10-26T09:23:08,0.0,0.0,3041.6666666666665,221.99999999999997,Po_Land_Midstream,3381.0,191.0,166,224.0,2976.0,29.0,5,3400.493548387097,860.7232347010545,3105.9907460960094,60.593506,
1_1_LT05_191029_19881111,43.0,156.64267,3507.9999999999995,1.0,1988-11-11T09:23:10,0.0,0.43640410304276706,3711.0,231.99999999999994,Po_Land_Midstream,3898.0,191.0,166,224.0,3591.9999999999995,29.0,5,3995.0,1037.1922862321815,3471.9999999999995,65.330719,
1_1_LT05_191029_19881213,36.0,155.997818,544.6432540011609,0.6221635507349795,1988-12-13T09:22:59,4.0,1.2010936372274645,660.0000000000001,241.99999999999991,Po_Land_Midstream,1472.667565623876,191.0,166,96.0,667.0,29.0,5,1385.5939432714863,373.45268645656915,803.9999999999998,71.450676,
1_1_LT05_191029_19890114,82.0,151.852081,4434.000000000001,1.0,1989-01-14T09:22:43,4.0,1.8647862567658653,4566.000000000001,240.99999999999997,Po_Land_Midstream,4552.0,191.0,166,224.0,4527.0,29.0,5,4351.0,489.18762587986436,3644.0,70.840714,
1_1_LT05_191029_19890130,1.0,149.368668,550.2093162137952,0.3137100994243853,1989-01-30T09:22:35,4.0,1.4672601587137901,668.5266348412516,235.99999999999997,Po_Land_Midstream,1355.9154750106186,191.0,166,66.0,696.4284942849426,29.0,5,1460.350209986001,354.651563038465,890.8838336593249,67.826813,
1_1_LT05_191029_19890215,14.0,146.973755,2249.935343117811,1.0,1989-02-15T09:22:34,0.0,1.3018739912520578,2344.0,227.99999999999997,Po_Land_Midstream,2768.0,191.0,166,224.0,2345.9999999999995,29.0,5,2423.0,464.9614576481286,1666.0000000000002,63.327301,
1_1_LT05_191029_19890404,95.0,140.254395,2802.0,1.0,1989-04-04T09:21:41,2.0,0.0,2895.0000000000005,181.99999999999997,Po_Land_Midstream,3463.0,191.0,166,224.0,2788.999999999999,29.0,5,1599.0,46.703235331704406,1110.0000000000002,45.579132,
1_1_LT05_191029_19890420,75.0,137.414658,980.0,0.5055420769706486,1989-04-20T09:21:29,0.0,1.752680795101213,1188.9999999999995,163.99999999999994,Po_Land_Midstream,2465.0,191.0,166,72.0,1040.0,29.0,5,1401.0,288.2735053333822,771.0,40.006592,
1_1_LT05_191029_19890607,6.0,126.354034,512.0,0.0,1989-06-07T09:20:44,0.0,1.3204731333802657,736.0,131.0,Po_Land_Midstream,3486.6666666666665,191.0,166,66.0,532.0569746099724,29.0,5,1554.9999999999998,256.4406635193164,680.0,30.783005,
1_1_LT05_191029_19890623,46.0,124.277115,20000.0,1.0,1989-06-23T09:20:19,2.0,0.15476183829717002,20000.0,131.0,Po_Land_Midstream,9200.121555915723,191.0,166,224.0,20000.0,29.0,5,3645.4182486221675,1891.3202438812632,2568.0,30.797798,
1_1_LT05_191029_19890725,62.0,126.973671,20000.0,1.0,1989-07-25T09:19:46,0.0,0.43640410304276706,5917.399581589959,144.0,Po_Land_Midstream,6585.48865248227,191.0,166,224.0,5775.0,29.0,5,5422.999999999999,606.7913702881559,4446.0,34.50301,
1_1_LT05_191029_19890810,9.0,131.283859,543.0,0.0,1989-08-10T09:19:24,0.0,0.8836550665689396,728.6978380359104,155.99999999999997,Po_Land_Midstream,3726.5,191.0,166,66.0,500.99999999999994,29.0,5,1610.8807854137447,265.60246818527725,643.9999999999999,37.732811,
1_1_LT05_191029_19890826,20.0,136.57637,1790.0,0.9049284049284049,1989-08-26T09:19:04,0.0,0.816170580936865,1760.9999999999998,169.99999999999997,Po_Land_Midstream,3282.0,191.0,166,160.0,1454.9999999999998,29.0,5,1736.14144375229,233.05217669748183,780.0000000000001,41.708622,
1_1_LT05_191029_19890911,61.0,142.028381,3220.832427322146,1.0,1989-09-11T09:18:36,2.0,0.0,3246.8168569711534,184.0,Po_Land_Midstream,3405.9999999999995,191.0,166,224.0,3075.0000000000005,29.0,5,1534.0,97.92041558213268,1042.0000000000002,46.336498,
1_1_LT05_191029_19891013,4.0,151.026917,1608.0,0.0,1989-10-13T09:17:49,0.0,1.087495401204606,1602.9999999999998,213.0,Po_Land_Midstream,3053.0396555631096,191.0,166,66.0,1328.9999999999998,29.0,5,1586.9709948495529,346.4841548995541,646.9999999999998,56.749157,
1_1_LT05_191029_19891114,12.0,155.197357,2694.0,1.0,1989-11-14T09:16:47,0.0,0.6836752269451136,2820.0,233.99999999999991,Po_Land_Midstream,3283.0,191.0,166,224.0,2686.0,29.0,5,2986.0,915.4315336099895,2443.0000000000005,66.525208,
1_1_LT05_191029_19891130,28.0,155.225464,4910.000000000001,1.0,1989-11-30T09:16:28,4.0,1.9145636007692777,5144.999999999999,239.99999999999997,Po_Land_Midstream,5115.0,191.0,166,224.0,5139.999999999999,29.0,5,4852.0,1038.722335039082,4029.0000000000005,70.105972,
1_1_LT05_191029_19900117,3.0,149.592514,1047.0,0.7191855763284337,1990-01-17T09:15:00,1.0,1.8963181813176953,1178.0,240.99999999999997,Po_Land_Midstream,1465.0000000000002,191.0,166,95.99999999999999,1046.9999999999995,29.0,5,1275.0,290.6961936447817,716.9999999999999,71.144821,
1_1_LT05_191029_19900218,38.0,144.410797,1478.9999999999998,1.0,1990-02-18T09:13:59,0.0,0.7733400740183717,1577.0,227.99999999999997,Po_Land_Midstream,1894.0,191.0,166,160.0,1486.0000000000002,29.0,5,1880.0000000000005,391.24702036934167,1268.0,63.308548,
1_1_LT05_191029_19900306,17.0,141.959335,772.0,0.330526616240902,1990-03-06T09:13:26,0.0,1.8220675958109942,938.2029715988781,215.99999999999994,Po_Land_Midstream,1711.0,191.0,166,96.00000000000001,882.9999999999999,29.0,5,1757.0,451.1367258043059,1105.0000000000002,57.718403,
