system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,680.0,0.10793123656964249,1984-04-09T09:51:02,0.0,1.861344783252577,955.0000000000001,174.0,Rhone_Land_Upstream,2378.0,196.0,82,66.0,904.1666666666666,30.0,5,1741.0,526.2110628719956,1213.0,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,1445.0000000000002,0.0,1984-04-25T09:51:02,0.0,0.43902439024390244,1607.9999999999998,156.0,Rhone_Land_Upstream,2747.0,196.0,82,66.0,1443.0000000000005,30.0,5,1332.9999999999998,289.7165048502232,773.0,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,734.0,0.0,1984-05-11T09:51:21,0.0,0.0,1001.8333333333334,141.0,Rhone_Land_Upstream,3545.7651331719126,196.0,82,66.0,853.0000000000001,30.0,5,1816.0,531.5796922520211,932.0,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,1135.0,0.0,1984-05-27T09:51:49,0.0,0.0,1333.0,131.0,Rhone_Land_Upstream,3323.0,196.0,82,66.0,1237.9999999999998,30.0,5,1512.0,414.9195468627959,879.0,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,498.72753209700426,0.0,1984-06-12T09:52:08,0.0,0.0,756.6666666666666,127.0,Rhone_Land_Upstream,3408.313901345291,196.0,82,66.0,621.0,30.0,5,1681.0,451.385002611946,775.1666666666666,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,1354.0,1.0,1984-06-28T09:52:21,0.0,0.0,1506.0000000000002,129.0,Rhone_Land_Upstream,2750.662337662338,196.0,82,72.0,1437.0,30.0,5,1563.0,316.9805709060811,859.9999999999999,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,423.0,0.0,1984-07-14T09:52:33,0.0,0.43902439024390244,645.0,135.0,Rhone_Land_Upstream,3142.625,196.0,82,66.0,614.0000000000001,30.0,5,1707.0,590.5626136360378,856.9999999999999,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,532.883211678832,0.0,1984-08-15T09:53:39,0.0,0.43902439024390244,770.9999999999999,156.0,Rhone_Land_Upstream,3072.4,196.0,82,66.0,685.0,30.0,5,1738.0,561.8130886773298,964.0,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,390.7084048027444,0.0,1984-08-31T09:53:56,0.0,1.1868804937167259,581.0,170.0,Rhone_Land_Upstream,2867.20987654321,196.0,82,66.0,512.0,30.0,5,1509.0,508.04187436028326,786.0,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,338.6827924066136,0.0,1984-10-02T09:53:59,0.0,1.7969502884286694,506.7165735567971,200.0,Rhone_Land_Upstream,2562.545205479452,196.0,82,66.0,464.6772908366534,30.0,5,1301.0,353.60400441641184,639.0,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,2691.0,0.4625903496776714,1984-10-18T09:53:56,0.0,0.0,3024.0,214.0,Rhone_Land_Upstream,4149.0,196.0,82,66.0,2989.0,30.0,5,3785.0,738.6750833704795,2863.0,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,654.7671424573189,0.0,1984-11-19T09:53:45,4.0,1.6780151017607263,804.5516698172651,233.0,Rhone_Land_Upstream,2044.1,196.0,82,66.0,736.152551878856,30.0,5,1396.0,317.79290287791486,777.0,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,687.9999999999999,0.32364719671810893,1984-12-05T09:53:51,4.0,1.4983631759422118,782.0,239.0,Rhone_Land_Upstream,1915.0900533417007,196.0,82,66.0,785.0000000000001,30.0,5,1363.9999999999998,339.57014263154167,722.0,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,512.0,0.1890017581558898,1984-12-21T09:54:02,4.0,0.6150985469716335,667.0,241.0,Rhone_Land_Upstream,1449.9999999999998,196.0,82,66.0,613.0,30.0,5,985.0000000000001,174.49980696088804,608.9999999999999,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,536.5344827586207,0.0,1985-03-27T09:54:16,0.0,1.861344783252577,752.0,188.0,Rhone_Land_Upstream,1876.2,196.0,82,66.0,828.9999999999999,30.0,5,1741.0,460.95746076674556,1210.640703517588,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,683.0000000000001,1.0,1985-04-12T09:54:12,3.0,1.809157747380751,857.0,169.0,Rhone_Land_Upstream,1741.0,196.0,82,72.0,816.6892138939671,30.0,5,1120.0000000000002,507.90058023703403,713.9999999999999,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,1967.4352226720646,1.0,1985-05-14T09:53:59,0.0,0.9571422863584675,2087.0,138.0,Rhone_Land_Upstream,3146.0,196.0,82,224.0,2001.0,30.0,5,2221.5,3627.7912550741703,1529.0,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,405.0,0.0,1985-05-30T09:54:00,0.0,0.0,650.0000000000001,129.0,Rhone_Land_Upstream,3773.0,196.0,82,66.0,496.0000000000001,30.0,5,1660.6830543933052,432.37509139740695,708.0,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,585.0172259106406,0.3859152178159796,1985-06-15T09:53:58,0.0,0.0,829.6797412050142,126.0,Rhone_Land_Upstream,3530.5,196.0,82,66.0,688.570995570063,30.0,5,1604.0,323.9405768393673,841.9999999999999,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,621.7274390243904,0.35226606759132634,1985-07-01T09:53:54,0.0,0.6170297873499276,806.0917740945367,129.0,Rhone_Land_Upstream,3271.295399515738,196.0,82,66.0,698.8921348314607,30.0,5,1449.0000000000002,396.32672411617864,654.0,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,376.0,0.0,1985-08-02T09:53:40,0.0,0.0,622.0,146.0,Rhone_Land_Upstream,2839.0000000000005,196.0,82,66.0,593.0000000000001,30.0,5,1750.0,719.9525974423245,819.0,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,368.99999999999994,0.0,1985-08-18T09:53:30,0.0,0.6170297873499276,599.0,159.0,Rhone_Land_Upstream,2696.0,196.0,82,66.0,567.2678571428572,30.0,5,1642.0000000000002,681.7091291044464,857.1943127962086,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,1991.2065948855986,0.5125512795467864,1985-09-03T09:53:19,0.0,0.0,2122.0,173.0,Rhone_Land_Upstream,3037.0000000000005,196.0,82,72.0,2045.0,30.0,5,2321.0,878.4248819338371,1670.9999999999998,42.679077,
1_1_LT05_196030_19851106,37.0,155.052582,434.55857740585776,0.0,1985-11-06T09:52:32,4.0,1.9633767607315227,661.5888022028453,227.0,Rhone_Land_Upstream,2295.1486486486488,196.0,82,66.0,567.0,30.0,5,1396.0,431.12782106513527,675.0,62.857735,
1_1_LT05_196030_19851122,48.0,155.823624,2624.4613733905576,1.0,1985-11-22T09:52:16,0.0,0.0,2881.9340455178817,235.0,Rhone_Land_Upstream,3572.555404301661,196.0,82,224.0,2928.577279887975,30.0,5,3624.0,187.81003318867366,3328.4884653961885,66.9897,
1_1_LT05_196030_19851208,95.0,155.29837,3857.0,1.0,1985-12-08T09:51:58,2.0,0.0,3989.0,239.0,Rhone_Land_Upstream,4311.0,196.0,82,224.0,3974.0000000000005,30.0,5,2828.0,94.29515283252927,2213.0,69.874725,
1_1_LT05_196030_19860109,6.0,151.438675,567.0,0.0,1986-01-09T09:51:23,4.0,1.498164651505972,717.0,240.0,Rhone_Land_Upstream,1661.0,196.0,82,66.0,708.0,30.0,5,1313.0,350.8416980421062,762.0,70.565567,
1_1_LT05_196030_19860125,4.0,148.848755,610.5930090442434,0.44847626489548736,1986-01-25T09:51:02,3.0,1.9714273705754155,745.8708505205262,237.0,Rhone_Land_Upstream,1757.573130061934,196.0,82,66.0,738.3007850834153,30.0,5,1573.9999999999998,434.8086514262862,972.0,68.188126,
1_1_LT05_196030_19860210,5.0,146.235718,1438.9999999999998,0.15632936120336002,1986-02-10T09:50:40,0.0,1.0267104965780092,1494.0,230.0,Rhone_Land_Upstream,1794.0,196.0,82,66.0,1500.0,30.0,5,1542.0000000000002,421.27378528853006,1136.0,64.212303,
1_1_LT05_196030_19860226,71.0,143.734604,2804.0000000000005,1.0,1986-02-26T09:50:18,0.0,0.0,3071.0,219.0,Rhone_Land_Upstream,3785.0,196.0,82,224.0,3050.0000000000005,30.0,5,3718.2098765432097,239.24291311408078,2853.0,59.028572,
1_1_LT05_196030_19860314,71.0,141.278137,1294.0,0.0,1986-03-14T09:49:58,0.0,0.0,1463.9999999999998,204.0,Rhone_Land_Upstream,2417.0,196.0,82,66.0,1421.0,30.0,5,2128.0,463.791353938495,1388.0000000000002,53.134396,
1_1_LT05_196030_19860330,36.0,138.680496,726.5119174670934,1.0,1986-03-30T09:49:39,0.0,1.8414230329928658,965.0492537313435,187.0,Rhone_Land_Upstream,2233.6463245492373,196.0,82,72.0,988.9807427785419,30.0,5,1891.0,447.135822689463,1255.0,47.061062,
1_1_LT05_196030_19860501,1.0,131.872131,583.0,0.4108224262551278,1986-05-01T09:48:55,0.0,0.9571422863584675,856.9999999999999,152.0,Rhone_Land_Upstream,3384.163671373556,196.0,82,66.0,688.0000000000001,30.0,5,1535.0,392.9554214741327,804.0,36.554356,
1_1_LT05_196030_19860517,28.0,127.581329,470.8344907407408,0.028374682555186555,1986-05-17T09:48:30,0.0,0.8616352064710094,714.1356382978723,139.0,Rhone_Land_Upstream,3514.5,196.0,82,66.0,545.208040201005,30.0,5,1484.7053941908716,294.25718824125215,815.0,33.067047,
1_1_LT05_196030_19860602,5.0,123.477821,538.0,0.09000781402617697,1986-06-02T09:48:02,0.0,0.0,837.8767676767678,132.0,Rhone_Land_Upstream,3111.0,196.0,82,66.0,750.0000000000001,30.0,5,1905.0,596.9693352840516,1054.0,31.146187,
1_1_LT05_196030_19860618,6.0,120.752914,626.5260223048327,0.0,1986-06-18T09:47:32,0.0,0.0,838.0,131.0,Rhone_Land_Upstream,2887.0,196.0,82,66.0,753.9999999999999,30.0,5,1677.0,470.06064704214486,1045.0,30.800655,
1_1_LT05_196030_19860821,0.0,131.44603,508.0,0.0,1986-08-21T09:45:18,0.0,0.7509660643093001,778.8429752066116,165.0,Rhone_Land_Upstream,2696.0,196.0,82,66.0,758.0,30.0,5,1800.0,657.2676035730974,1234.0,40.261459,
1_1_LT05_196030_19860906,15.0,137.19696,869.0,0.4234713811291267,1986-09-06T09:44:42,0.0,0.43902439024390244,1072.9999999999998,179.0,Rhone_Land_Upstream,3073.821678321678,196.0,82,66.0,1016.0000000000001,30.0,5,2061.9999999999995,755.9014576532658,1291.0,44.528744,
1_1_LT05_196030_19861008,1.0,147.289703,452.34379905808476,0.0,1986-10-08T09:43:42,0.0,1.974291942294423,666.4674634794156,208.0,Rhone_Land_Upstream,2323.8520102651846,196.0,82,66.0,561.6720647773279,30.0,5,1516.4569892473116,598.2766053341751,997.9999999999999,54.495495,
1_1_LT05_196030_19861109,1.0,152.721802,579.0000000000001,0.0,1986-11-09T09:42:34,3.0,1.9907952966457743,743.0,230.0,Rhone_Land_Upstream,2282.6382978723404,196.0,82,66.0,633.9418248622169,30.0,5,1505.0,529.0300323552992,933.0,64.467896,
1_1_LT05_196030_19861211,1.0,152.980499,790.9999999999999,0.0663703848407892,1986-12-11T09:42:32,4.0,1.514357226953696,966.0,241.0,Rhone_Land_Upstream,1838.9999999999993,196.0,82,66.0,850.0,30.0,5,1312.0,326.73664072373884,798.0,70.945023,
1_1_LT05_196030_19861227,4.0,151.493744,641.9999999999999,0.2870189490134792,1986-12-27T09:43:02,4.0,1.7351391621299914,764.0,242.0,Rhone_Land_Upstream,1764.0,196.0,82,66.0,755.9999999999998,30.0,5,1395.9999999999998,360.87398618962254,811.9999999999999,71.862595,
1_1_LT05_196030_19870112,13.0,149.335144,692.183213206231,0.5379957022856026,1987-01-12T09:43:30,0.0,1.9423962093013845,848.0,241.0,Rhone_Land_Upstream,1767.0,196.0,82,96.0,836.0654065406541,30.0,5,1450.0,458.43700203022223,1038.0,70.948631,
1_1_LT05_196030_19870213,17.0,144.452698,688.0000000000001,0.13088493846454383,1987-02-13T09:44:24,4.0,1.6642655716323884,864.9999999999999,229.0,Rhone_Land_Upstream,1636.0,196.0,82,66.0,845.9999999999999,30.0,5,1168.0,427.2605961745437,697.0,63.950127,
1_1_LT05_196030_19870301,55.0,142.120499,1233.0,1.0,1987-03-01T09:45:13,0.0,0.0,1491.0000000000005,218.0,Rhone_Land_Upstream,2489.1923076923076,196.0,82,160.0,1458.0000000000002,30.0,5,1890.253984063745,231.44383510958266,1344.9999999999998,58.555508,
1_1_LT05_196030_19870317,4.0,139.811905,555.0,0.0,1987-03-17T09:45:49,0.0,1.861344783252577,782.7073007367715,202.0,Rhone_Land_Upstream,1803.7625639482396,196.0,82,66.0,787.0000000000001,30.0,5,1772.0,421.02457339676283,1209.0989399293287,52.502071,
1_1_LT05_196030_19870418,45.0,134.438995,810.0,0.7549326040242235,1987-04-18T09:46:55,0.0,0.6170297873499276,1103.0,166.0,Rhone_Land_Upstream,2929.8871181938907,196.0,82,96.0,893.1753846153847,30.0,5,1700.0,474.870903901052,1086.0,40.698177,
1_1_LT05_196030_19870504,48.0,130.870575,20000.0,1.0,1987-05-04T09:47:23,0.0,1.6885730664069245,4861.0,150.0,Rhone_Land_Upstream,5666.566666666667,196.0,82,224.0,4841.184,30.0,5,4536.0,714.7285611484649,3479.0,35.97892,
1_1_LT05_196030_19870520,34.0,126.865479,20000.0,1.0,1987-05-20T09:47:50,0.0,0.0,3843.9999999999995,137.0,Rhone_Land_Upstream,4823.0,196.0,82,224.0,3828.0,30.0,5,4275.6920341394025,3092.239993287336,3333.0,32.614426,
1_1_LT05_196030_19870605,1.0,123.189774,441.63414634146335,0.0,1987-06-05T09:48:13,0.0,0.0,670.0,131.0,Rhone_Land_Upstream,3184.6,196.0,82,66.0,544.0,30.0,5,1698.2837078651685,422.20786710553637,806.0,30.834232,
1_1_LT05_196030_19870621,0.0,121.036324,506.00000000000006,0.0,1987-06-21T09:48:34,0.0,0.0,748.3013698630137,130.0,Rhone_Land_Upstream,3125.5,196.0,82,66.0,641.9194915254238,30.0,5,1712.0000000000002,453.76433004577564,881.4753086419754,30.577702,
1_1_LT05_196030_19870707,40.0,121.192177,20000.0,1.0,1987-07-07T09:48:54,2.0,0.0,3466.0,134.0,Rhone_Land_Upstream,3871.0,196.0,82,224.0,3369.0,30.0,5,1440.9999999999998,35.599273849782044,1018.0,31.602119,
1_1_LT05_196030_19870723,27.0,123.811539,612.5549450549449,0.0,1987-07-23T09:49:12,0.0,0.0,821.3233030090971,141.0,Rhone_Land_Upstream,3054.5714285714284,196.0,82,66.0,700.5629139072847,30.0,5,1626.0,489.8394333189859,872.9999999999999,33.647572,
1_1_LT05_196030_19870808,1.0,128.412674,765.0,1.0,1987-08-08T09:49:42,0.0,0.6170297873499276,922.9999999999999,152.0,Rhone_Land_Upstream,2940.0,196.0,82,160.0,888.0,30.0,5,1721.0,419.14063948661027,992.0,36.538441,
1_1_LT05_196030_19870909,55.0,140.164841,2226.9999999999995,1.0,1987-09-09T09:50:35,0.0,0.0,2413.0,179.0,Rhone_Land_Upstream,3637.0000000000005,196.0,82,224.0,2340.0,30.0,5,2151.0,175.65802690235648,1547.0000000000002,44.534245,
1_1_LT05_196030_19870925,32.0,145.71524,822.0000000000001,1.0,1987-09-25T09:50:56,4.0,1.738393139629801,983.0,194.0,Rhone_Land_Upstream,2016.0,196.0,82,224.0,846.0000000000001,30.0,5,1305.2833333333333,258.982775353504,831.0,49.394951,
1_1_LT05_196030_19871027,63.0,153.582779,1525.0,1.0,1987-10-27T09:51:29,0.0,0.0,1727.0,220.0,Rhone_Land_Upstream,2440.999999999999,196.0,82,224.0,1617.0000000000005,30.0,5,1792.9999999999998,110.65231990902554,1277.0,59.71172,
1_1_LT05_196030_19871112,88.0,155.433365,3416.9999999999995,1.0,1987-11-12T09:51:53,0.0,0.0,3731.0,230.0,Rhone_Land_Upstream,4406.0,196.0,82,224.0,3771.0,30.0,5,4817.0,103.2721349101477,4221.0,64.368584,
1_1_LT05_196030_19871128,7.0,155.872467,632.5979809976246,0.6730806798202774,1987-11-28T09:52:11,4.0,1.6745994042704266,778.5446441409057,237.0,Rhone_Land_Upstream,2054.0291666666662,196.0,82,96.0,702.5577283128772,30.0,5,1288.0,338.7850234116654,678.9999999999999,68.078484,
