system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_201036_19840615,13.0,106.029594,1165.9999999999998,0.0,1984-06-15T10:25:28,4.0,1.7898585434318832,1676.0,119.0,Sebou_Water_Midstream,2025.0,201.0,87,66.0,1826.9999999999998,36.0,5,1331.9999999999998,68.30465161821712,856.0,27.866833,
1_1_LT05_201036_19840717,2.0,108.576202,888.9999999999997,0.0,1984-07-17T10:25:57,1.0,0.9301116470870763,1326.0,128.0,Sebou_Water_Midstream,1121.0,201.0,87,68.0,1426.0,36.0,5,447.0,606.448235885657,293.99999999999994,30.038567,
1_1_LT05_201036_19840818,4.0,121.357437,845.0000000000001,0.0,1984-08-18T10:27:02,1.0,0.0,1265.9999999999998,145.0,Sebou_Water_Midstream,667.0000000000001,201.0,87,68.0,1191.0,36.0,5,243.00000000000003,145.2938862565735,130.00000000000003,34.635464,
1_1_LT05_201036_19840903,5.0,129.212036,981.0000000000001,1.0,1984-09-03T10:27:14,1.0,0.8872193331219729,1357.0,157.0,Sebou_Water_Midstream,1246.0,201.0,87,96.0,1338.9999999999998,36.0,5,1052.0000000000002,67.46510379362843,665.9999999999999,37.920685,
1_1_LT05_201036_19841021,42.0,147.960129,3157.5922174840084,1.0,1984-10-21T10:27:13,0.0,0.0,3552.3214578214574,199.0,Sebou_Water_Midstream,4187.793856103475,201.0,87,224.0,3717.0,36.0,5,4878.2776203966005,682.655913556685,4269.758720930233,51.226589,
1_1_LT05_201036_19850109,31.0,148.407837,852.0000000000002,1.0,1985-01-09T10:27:28,1.0,0.0,1112.0,228.0,Sebou_Water_Midstream,1337.0,201.0,87,72.0,1132.0,36.0,5,153.0,65.13571307444943,99.00000000000001,63.633316,
1_1_LT05_201036_19850125,19.0,145.501175,784.0,0.24050632911392403,1985-01-25T10:27:33,1.0,0.0,1131.0,224.0,Sebou_Water_Midstream,1319.0,201.0,87,66.0,1306.9999999999998,36.0,5,152.7407864302236,84.1487054215614,97.99999999999996,61.438469,
1_1_LT05_201036_19850226,66.0,139.017426,1596.0000000000002,1.0,1985-02-26T10:27:36,2.0,0.21318663208036123,1998.5953947368416,203.0,Sebou_Water_Midstream,2252.1711421410673,201.0,87,224.0,2056.0,36.0,5,916.0,107.22066671151615,596.9999999999999,52.726738,
1_1_LT05_201036_19850314,1.0,135.464859,909.0,0.0,1985-03-14T10:27:35,1.0,0.4496001658760448,1380.0,187.0,Sebou_Water_Midstream,684.0051150895139,201.0,87,68.0,1352.0000000000002,36.0,5,191.0,137.19007108066523,107.0,47.091854,
1_1_LT05_201036_19850415,0.0,126.572014,778.0,0.0,1985-04-15T10:27:28,1.0,0.3197799481205416,1189.0,150.0,Sebou_Water_Midstream,642.2871621621621,201.0,87,68.0,1155.0,36.0,5,160.0,113.6596291392687,126.00000000000001,36.050461,
