system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_205049_19840408,19.0,100.800987,3037.204978177362,1.0,1984-04-08T10:54:13,0.0,0.0,3915.0,141.0,Senegal_Water_Downstream,4429.0,205.0,554,224.0,4164.000000000001,49.0,5,4595.0,699.8317759873016,4243.0,33.64679,
1_1_LT05_205049_19840510,9.0,81.907005,1262.0000000000002,1.0,1984-05-10T10:54:31,2.0,0.7600885635618431,1641.0000000000002,129.0,Senegal_Water_Downstream,1424.0,205.0,554,224.0,1597.0000000000005,49.0,5,1229.0,64.74057537679664,932.9999999999998,30.436039,
1_1_LT05_205049_19840611,29.0,71.528854,1739.0000000000014,0.0,1984-06-11T10:55:18,0.0,0.0,2569.9999999999995,133.0,Senegal_Water_Downstream,3109.0,205.0,554,66.0,2927.0000000000005,49.0,5,2906.0,75.73083207135748,2422.0,31.353046,
1_1_LT05_205049_19840830,30.0,98.715271,2246.391819978714,0.8373403774437798,1984-08-30T10:57:07,2.0,1.365733124603542,2741.0,137.0,Senegal_Water_Downstream,2813.0000000000005,205.0,554,72.00000000000001,2990.9999999999995,49.0,5,2161.5,1213.7368994088956,1775.9999999999998,32.364166,
1_1_LT05_205049_19840915,47.0,109.988007,2280.0,1.0,1984-09-15T10:57:10,2.0,0.18914349310367914,2719.0,139.0,Senegal_Water_Downstream,2827.0,205.0,554,224.0,2858.0,49.0,5,1969.0000000000002,433.3507376090258,1485.0,33.155483,
1_1_LT05_205049_19841001,27.0,120.885468,1391.0000000000002,0.18326223302068048,1984-10-01T10:57:11,2.0,0.1199512471179514,2236.9999999999995,146.0,Senegal_Water_Downstream,2056.0,205.0,554,66.0,2666.999999999999,49.0,5,907.0,342.6876002756131,712.0,35.003902,
1_1_LT05_205049_19841017,4.0,130.050949,1294.0000000000002,0.02053198101480395,1984-10-17T10:57:08,2.0,0.07338827202258291,2198.000000000001,157.0,Senegal_Water_Downstream,1961.0,205.0,554,66.0,2643.9999999999995,49.0,5,789.0000000000001,39.37014861163312,573.0,37.863956,
1_1_LT05_205049_19841118,29.0,140.596069,832.0,0.2218188495875243,1984-11-18T10:56:56,1.0,0.35722290730366496,1241.9999999999998,180.0,Senegal_Water_Downstream,557.0000000000001,205.0,554,68.0,1033.0,49.0,5,277.0000000000001,294.1639365415141,188.99999999999997,44.918812,
1_1_LT05_205049_19841204,16.0,142.002121,1117.1972157772623,0.999442027347723,1984-12-04T10:57:02,0.0,1.2346359277862269,1475.2857142857142,189.0,Senegal_Water_Downstream,1433.0,205.0,554,223.99999999999997,1411.0,49.0,5,1579.9999999999998,768.9398191452719,1454.0000000000002,47.941727,
1_1_LT05_205049_19850121,0.0,135.06044,511.0,0.0,1985-01-21T10:57:26,1.0,0.0,775.0,194.0,Senegal_Water_Downstream,324.0,205.0,554,68.0,529.0000000000001,49.0,5,112.00000000000004,33.64161276917029,70.99999999999999,49.485119,
1_1_LT05_205049_19850206,0.0,130.198166,876.9999999999998,0.0,1985-02-06T10:57:29,1.0,0.04244756684586542,1242.0000000000002,187.0,Senegal_Water_Downstream,886.0682227695766,205.0,554,68.0,1133.9999999999995,49.0,5,646.9999999999999,50.479363699142645,474.0,47.086525,
1_1_LT05_205049_19860108,52.0,137.652298,1072.0000000000002,0.4786416544242293,1986-01-08T10:54:35,1.0,0.09457174655183957,1407.0000000000002,198.0,Senegal_Water_Downstream,969.0000000000002,205.0,554,68.0,1310.9999999999998,49.0,5,704.366668956988,63.196066817792946,560.0000000000001,50.885609,
1_1_LT05_205049_19860124,33.0,133.600052,717.0,0.3371002373149511,1986-01-24T10:54:15,1.0,0.0,991.0,195.0,Senegal_Water_Downstream,496.0,205.0,554,68.0,718.9696993702222,49.0,5,290.0,63.96765452251442,199.00000000000003,49.743679,
1_1_LT05_205049_19860209,0.0,128.493973,657.0000000000001,0.0,1986-02-09T10:53:53,1.0,0.0,979.0,187.0,Senegal_Water_Downstream,433.00000000000006,205.0,554,68.0,789.0,49.0,5,221.99999999999991,44.26665869514817,149.99999999999991,47.245316,
1_1_LT05_205049_19860225,3.0,122.384895,661.0,0.055754887557916195,1986-02-25T10:53:31,1.0,0.12734270053759786,945.0000000000001,176.0,Senegal_Water_Downstream,446.00000000000006,205.0,554,68.0,736.9999999999999,49.0,5,235.99999999999997,101.58246810728185,180.00000000000003,43.752338,
1_1_LT05_205049_19860430,23.0,87.602463,799.9999999999999,0.0,1986-04-30T10:52:08,1.0,0.18945331066284368,1104.9999999999998,133.0,Senegal_Water_Downstream,838.0000000000002,205.0,554,68.0,1096.0,49.0,5,615.0000000000001,48.359203855974535,466.0000000000001,31.528091,
1_1_LT05_205049_19861007,17.0,121.81234,1308.0,0.0,1986-10-07T10:46:55,2.0,0.0,2089.999999999999,157.0,Senegal_Water_Downstream,1914.0000000000002,205.0,554,66.0,2458.000000000001,49.0,5,720.9999999999997,25.281180934641693,543.0000000000001,37.925114,
1_1_LT05_205049_19861023,0.0,129.849121,1111.0000000000002,0.0,1986-10-23T10:46:23,1.0,0.0,1925.0000000000005,167.0,Senegal_Water_Downstream,1235.0000000000005,205.0,554,66.0,2264.0000000000005,49.0,5,235.0,26.04941708532482,179.00000000000006,40.992878,
