system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_205049_19840408,19.0,100.800987,2356.5209923664124,0.545684019158829,1984-04-08T10:54:13,0.0,0.4118152944399878,3106.4806410949036,141.00000000000006,Senegal_Water_Upstream,3749.0,205.0,560,136.0,3518.9999999999995,49.0,5,4265.0,688.9019269730953,3816.265486725664,33.64679,
1_1_LT05_205049_19840510,9.0,81.907005,1224.9999999999998,0.0,1984-05-10T10:54:31,2.0,0.7634424587060258,1984.9999999999993,129.00000000000006,Senegal_Water_Upstream,1453.0,205.0,560,66.0,2132.886117390288,49.0,5,1224.0,582.9144515659117,894.9999999999999,30.436039,
1_1_LT05_205049_19840611,29.0,71.528854,1774.0,0.0,1984-06-11T10:55:18,0.0,0.0,2782.0000000000005,133.00000000000003,Senegal_Water_Upstream,3834.000000000001,205.0,560,66.0,3403.0000000000005,49.0,5,4352.999999999999,81.45556176669844,3760.9999999999995,31.353046,
1_1_LT05_205049_19840830,30.0,98.715271,1799.9999999999993,1.0,1984-08-30T10:57:07,0.0,1.9453634044851886,2504.9999999999995,136.99999999999997,Senegal_Water_Upstream,2911.0,205.0,560,96.00000000000004,2952.0,49.0,5,2204.0,103.52168040143877,1841.0000000000002,32.364166,
1_1_LT05_205049_19840915,47.0,109.988007,2290.0,1.0,1984-09-15T10:57:10,2.0,0.0,2681.3951004454143,139.0,Senegal_Water_Upstream,2967.9999999999995,205.0,560,224.0,2880.9999999999995,49.0,5,1665.9999999999998,72.33367971630594,1267.9999999999995,33.155483,
1_1_LT05_205049_19841001,27.0,120.885468,1360.0,0.0,1984-10-01T10:57:11,2.0,1.1299268533305824,2202.0000000000005,145.99999999999997,Senegal_Water_Upstream,2129.000000000001,205.0,560,66.0,2635.0000000000005,49.0,5,1718.6473956409309,98.0413068272134,1326.9999999999998,35.003902,
1_1_LT05_205049_19841017,4.0,130.050949,1361.0000000000007,0.0,1984-10-17T10:57:08,2.0,0.41181529443998777,2268.459327643268,157.0,Senegal_Water_Upstream,2374.9999999999995,205.0,560,66.0,2798.480974321806,49.0,5,1457.9999999999998,111.5019857600934,1122.0,37.863956,
1_1_LT05_205049_19841118,29.0,140.596069,1073.0,0.0,1984-11-18T10:56:56,1.0,0.23445959357724752,1899.9999999999998,180.00000000000006,Senegal_Water_Upstream,811.0000000000002,205.0,560,68.0,1961.0000000000005,49.0,5,364.0,105.17541415343676,271.00000000000006,44.918812,
1_1_LT05_205049_19841204,16.0,142.002121,1143.0000000000002,0.0,1984-12-04T10:57:02,1.0,0.3172295167958532,2005.0,189.0000000000001,Senegal_Water_Upstream,964.0000000000005,205.0,560,68.0,2096.487972138447,49.0,5,464.0,163.6162979534584,364.00000000000017,47.941727,
1_1_LT05_205049_19850121,0.0,135.06044,1050.9999999999998,0.0,1985-01-21T10:57:26,1.0,0.2822050112371271,1904.1108472727913,194.00000000000006,Senegal_Water_Upstream,901.1288896446187,205.0,560,68.0,2122.1448958580822,49.0,5,233.0901960784314,131.05385031991034,157.00000000000003,49.485119,
