system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_165039_19860524,63.0,102.215393,1474.0,1.0,1986-05-24T06:40:17,2.0,0.0,1743.0,123.0,ShattelArab_Water_Upstream,1633.0,165.0,8,224.0,1655.0,39.0,5,991.0,152.48642357600232,696.0,28.877075,
1_1_LT05_165039_19860609,0.0,97.489792,744.9999999999999,0.4787017316418186,1986-06-09T06:39:49,1.0,0.0,992.0,122.0,ShattelArab_Water_Upstream,783.0,165.0,88,68.0,836.0,39.0,5,458.99999999999994,36.04533990581313,322.0,28.599586,
1_1_LT05_165039_19900228,0.0,132.916306,604.0000000000001,0.3962877810800201,1990-02-28T06:36:57,1.0,0.0,752.0,198.0,ShattelArab_Water_Upstream,373.0,165.0,71,68.0,644.0,39.0,5,207.0,30.184350594790036,161.0,51.05555,
1_1_LT05_165039_20000107,20.0,147.818375,749.9999999999999,0.0,2000-01-07T06:50:55,1.0,0.0,915.0,221.0,ShattelArab_Water_Upstream,261.99999999999994,165.0,227,68.0,596.0000000000001,39.0,5,106.99999999999997,55.115370009947526,36.2951184749688,60.111801,
1_1_LT05_165039_20000123,0.0,144.692886,874.9999999999997,0.6600450225972198,2000-01-23T06:50:32,1.0,0.0,1099.0,217.0,ShattelArab_Water_Upstream,568.9997422431293,165.0,227,95.99999999999999,841.0,39.0,5,364.0,50.40201673122056,250.00000000000006,58.38739,
1_1_LT05_165039_20000208,71.0,141.114548,3606.0,1.0,2000-02-08T06:50:00,4.0,0.9897433186107873,4097.0,209.0,ShattelArab_Water_Upstream,4204.0,165.0,21,224.0,4227.0,39.0,5,3229.0,35.792359108078884,2648.0,55.074329,
1_1_LT05_165039_20020520,41.0,106.597099,20000.0,1.0,2002-05-20T06:52:41,2.0,1.0756508696544755,20000.0,114.0,ShattelArab_Water_Upstream,20000.0,165.0,22,224.0,20000.0,39.0,5,2150.0,9145.413435204908,4693.0,26.550434,
1_1_LT05_165039_20020605,6.0,100.83503,1029.0,0.025498426023084993,2002-06-05T06:52:24,1.0,0.0,1274.0,111.0,ShattelArab_Water_Upstream,1181.0,165.0,37,66.0,1132.0,39.0,5,801.0,30.0037494613341,578.0,25.903557,
1_1_LT05_165039_20020723,0.0,103.67057,819.0,0.0,2002-07-23T06:51:15,1.0,0.0,1142.0,123.0,ShattelArab_Water_Upstream,733.0,165.0,21,68.0,879.0,39.0,5,446.0,23.352178978385663,328.0,28.877319,
1_1_LT05_166039_19850104,0.0,147.248413,503.9999999999999,0.0,1985-01-04T06:52:19,1.0,0.0,724.9999999999999,222.0,ShattelArab_Water_Upstream,320.99999999999994,166.0,227,68.0,646.0,39.0,5,107.99999999999997,43.3930767565962,94.99999999999997,60.682671,
1_1_LT05_166039_19850120,3.0,144.292755,746.9999999999999,0.0,1985-01-20T06:52:25,1.0,0.0,1051.9999999999998,219.0,ShattelArab_Water_Upstream,572.9999999999999,166.0,227,68.0,936.0000000000001,39.0,5,289.99999999999994,37.91612886511759,196.99999999999994,59.194717,
1_1_LT05_166039_19850205,0.0,140.85141,547.9999999999999,0.0,1985-02-05T06:52:28,1.0,0.0,862.0000000000001,212.0,ShattelArab_Water_Upstream,378.2861637035325,166.0,227,68.0,773.0000000000002,39.0,5,129.0,41.56089416378642,81.69413336073154,56.086384,
1_1_LT05_166039_19850309,5.0,132.911224,607.0000000000001,0.0,1985-03-09T06:52:29,1.0,0.0,894.0000000000001,185.0,ShattelArab_Water_Upstream,416.99999999999994,166.0,227,68.0,780.9999999999999,39.0,5,185.99999999999994,33.7007249995192,104.99999999999997,46.427292,
1_1_LT05_166039_19850325,8.0,128.141159,1180.9999999999998,1.0,1985-03-25T06:52:27,4.0,0.5262796307689193,1521.9999999999993,167.0,ShattelArab_Water_Upstream,1665.0000000000002,166.0,227,224.0,1551.9999999999995,39.0,5,1285.9999999999998,31.815611128059462,964.0,40.925442,
1_1_LT05_166039_19860107,0.0,146.117294,686.9999999999999,0.0,1986-01-07T06:49:36,1.0,0.0,1028.0000000000005,223.0,ShattelArab_Water_Upstream,437.0,166.0,227,68.0,800.9999999999999,39.0,5,146.99999999999997,50.50473915441638,93.99999999999997,60.909477,
1_1_LT05_166039_19860208,0.0,139.337845,607.0,0.0,1986-02-08T06:48:54,1.0,0.0,953.9999999999997,211.0,ShattelArab_Water_Upstream,378.9999999999999,166.0,227,68.0,812.4732702652567,39.0,5,198.99999999999997,39.839930356931546,132.8453201643908,55.926144,
1_1_LT05_166039_19860224,25.0,135.366669,900.0,1.0,1986-02-24T06:48:32,1.0,0.09345023539910322,1196.0,199.0,ShattelArab_Water_Upstream,1028.0000000000002,166.0,227,224.0,1110.9999999999998,39.0,5,782.9999999999998,36.619803308757255,618.9999999999997,51.428135,
1_1_LT05_166039_19860312,0.0,130.970062,532.0000000000001,0.0,1986-03-12T06:48:11,1.0,0.0,800.9999999999998,184.0,ShattelArab_Water_Upstream,367.0,166.0,227,68.0,660.9999999999999,39.0,5,154.99999999999997,39.275294758382366,104.0,46.211807,
1_1_LT05_166039_19860328,5.0,125.915016,2781.2794520547945,1.0,1986-03-28T06:47:53,2.0,0.0,3053.0,167.0,ShattelArab_Water_Upstream,3300.9999999999995,166.0,227,224.0,3027.0,39.0,5,2040.0,253.46028449892762,1517.9999999999998,40.840202,
1_1_LT05_166039_19860413,0.0,119.937447,442.8071869133816,0.0,1986-04-13T06:47:32,1.0,0.0,644.9999999999999,150.0,ShattelArab_Water_Upstream,388.56405066597017,166.0,227,68.0,518.513639723174,39.0,5,185.99999999999997,37.63783585032969,126.0,35.939217,
1_1_LT05_166039_19860429,0.0,113.022842,645.9999999999999,0.0,1986-04-29T06:47:09,1.0,0.0,874.9999999999995,135.0,ShattelArab_Water_Upstream,658.9999999999999,166.0,227,68.0,757.9999999999999,39.0,5,421.99999999999994,37.54158916918045,331.0,32.05917,
1_1_LT05_166039_19860515,11.0,105.85006,720.0037828636277,0.0,1986-05-15T06:46:43,1.0,0.06622597523512248,1002.9999999999999,126.0,ShattelArab_Water_Upstream,926.9999999999999,166.0,227,68.0,880.0186389883779,39.0,5,628.0,60.94219820816818,459.99999999999994,29.604206,
1_1_LT05_166039_19860531,1.0,99.819084,808.5700534759357,0.0,1986-05-31T06:46:16,1.0,0.0,1128.0,122.0,ShattelArab_Water_Upstream,913.9999999999999,166.0,227,68.0,1020.9999999999998,39.0,5,645.0,54.339361510042025,521.9999999999999,28.610088,
1_1_LT05_166039_19860616,1.0,96.3731,870.9999999999999,0.0,1986-06-16T06:45:46,1.0,0.0,1245.0,123.0,ShattelArab_Water_Upstream,820.2889805097451,166.0,227,68.0,1095.0000000000002,39.0,5,555.0000000000001,37.27636220006133,454.81134995700774,28.801929,
1_1_LT05_166039_19860702,2.0,96.259079,886.9999999999999,0.0,1986-07-02T06:45:15,1.0,0.0,1257.9999999999998,126.0,ShattelArab_Water_Upstream,895.0000000000001,166.0,227,68.0,1106.0,39.0,5,628.9999999999998,36.9149847841318,525.0,29.727505,
1_1_LT05_166039_19860718,1.0,99.405823,926.9999999999998,0.0,1986-07-18T06:44:43,1.0,0.0,1318.8541396688258,132.0,ShattelArab_Water_Upstream,993.9999999999997,166.0,227,68.0,1186.9999999999998,39.0,5,671.9999999999997,49.88853534605474,505.0,31.079357,
1_1_LT05_166039_19860819,0.0,112.840988,800.0173255991452,0.0,1986-08-19T06:43:33,1.0,0.0,1167.9999999999995,146.0,ShattelArab_Water_Upstream,725.9999999999998,166.0,227,68.0,954.0,39.0,5,413.31723927627564,39.66283602600163,306.0,34.877819,
1_1_LT05_166039_19860904,0.0,121.247978,1291.0,0.0,1986-09-04T06:42:56,2.0,0.3074877245218528,1616.0,156.0,ShattelArab_Water_Upstream,1368.0,166.0,227,66.0,1471.9999999999995,39.0,5,974.9999999999997,61.614994735991445,759.9999999999999,37.595348,
1_1_LT05_166039_19860920,0.0,129.444656,836.9999999999999,0.0,1986-09-20T06:42:27,1.0,0.0,1218.0,167.0,ShattelArab_Water_Upstream,585.9999999999999,166.0,227,68.0,946.9999999999999,39.0,5,308.99999999999994,34.23252070489204,212.6253497693413,41.026096,
1_1_LT05_166039_19870315,15.0,129.110352,1251.9999999999998,0.9841226201113478,1987-03-15T06:43:55,4.0,0.6091413574429457,1602.999999999999,183.0,ShattelArab_Water_Upstream,1629.0,166.0,227,160.0,1586.0,39.0,5,1298.0,43.24764847665179,956.9999999999997,45.930317,
1_1_LT05_166039_19870331,0.0,124.11232,422.96072986909957,0.0,1987-03-31T06:44:29,1.0,0.0,568.5526101556934,166.0,ShattelArab_Water_Upstream,265.3019413063237,166.0,227,68.0,440.01362179487177,39.0,5,120.0,61.02865117499776,96.99999999999999,40.482906,
1_1_LT05_166039_19870502,11.0,111.429985,594.0,0.0,1987-05-02T06:45:30,1.0,0.0,822.0,134.0,ShattelArab_Water_Upstream,766.9999999999999,166.0,227,68.0,747.9999999999999,39.0,5,553.0,61.58968054815913,391.99999999999983,31.767872,
1_1_LT05_166039_19870705,1.0,96.955605,1567.9999999999998,0.0,1987-07-05T06:47:02,4.0,0.5262796307689193,2000.9999999999998,125.0,ShattelArab_Water_Upstream,2172.0,166.0,227,66.0,2028.0000000000002,39.0,5,1694.4344116268169,57.29586005617369,1295.0,29.405125,
1_1_LT05_166039_19870721,0.0,100.837677,795.0,0.0,1987-07-21T06:47:20,1.0,0.0,1146.9999999999998,130.0,ShattelArab_Water_Upstream,769.9999999999998,166.0,227,68.0,1062.9999999999998,39.0,5,519.0,68.06381274885521,398.0,30.615208,
