system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_166062_19850309,33.0,93.593277,378.60460992907804,0.0,1985-03-09T07:01:39,0.0,1.8348062438633088,607.0,155.0,Tana_Land_Downstream,2540.849807893818,166.0,196,66.0,493.1004464285714,62.0,5,1034.0,402.8598195781369,458.0,37.326508,
1_1_LT05_166062_19850410,20.0,72.516144,20000.0,1.0,1985-04-10T07:01:33,2.0,0.6029912939875168,3571.6666666666665,152.00000000000003,Tana_Land_Downstream,3943.0,166.0,196,224.0,3482.0,62.0,5,2212.0,1253.7581910497427,1276.0,36.635551,
1_1_LT05_166062_19860616,29.0,51.676105,656.0,0.6738842510836415,1986-06-16T06:54:56,0.0,1.0301575072754257,952.0,177.99999999999997,Tana_Land_Downstream,3095.9999999999995,166.0,196,72.0,849.9999999999999,62.0,5,1204.9999999999998,223.64330595997748,633.0,44.266293,
1_1_LT05_166062_19860819,28.0,66.450317,409.0,0.0,1986-08-19T06:52:43,0.0,1.2873329622783802,642.9999999999999,166.99999999999994,Tana_Land_Downstream,2887.0000000000005,166.0,196,66.0,546.0,62.0,5,932.0000000000001,227.8743430885228,377.00000000000006,40.788879,
1_1_LT05_166062_19861006,25.0,94.679253,345.1755795271976,0.16489404398779908,1986-10-06T06:51:06,0.0,1.7441518872833874,579.0,143.99999999999997,Tana_Land_Downstream,3141.0,166.0,196,66.0,440.99999999999994,62.0,5,886.9999999999999,414.9655161980163,341.0,34.432552,
1_1_LT05_166062_19861022,39.0,105.289978,388.99999999999994,0.0,1986-10-22T06:50:34,0.0,0.4910697720618761,650.9557919621748,144.0,Tana_Land_Downstream,2954.4747396837643,166.0,196,66.0,537.0,62.0,5,1109.0,360.5164004157968,519.0,34.355793,
1_1_LT05_166062_19870126,30.0,114.968109,1196.4718425369053,0.9972106277091028,1987-01-26T06:51:14,0.0,1.7630559564874724,1400.9999999999998,173.0,Tana_Land_Downstream,2556.0,166.0,196,224.0,1355.0000000000002,62.0,5,1637.0,1007.1597142454413,1281.0,42.606323,
1_1_LT05_166062_19870227,27.0,99.743393,392.0,0.0,1987-02-27T06:52:29,0.0,1.6121157271944082,632.801094637661,164.99999999999997,Tana_Land_Downstream,2668.0,166.0,196,66.0,479.0,62.0,5,949.0,324.830334842326,366.0,40.40884,
1_1_LT05_166062_19870315,62.0,90.116783,989.0000000000001,0.8705450313051857,1987-03-15T06:53:05,4.0,1.8519775668066334,1087.0,160.99999999999997,Tana_Land_Downstream,1628.0000000000002,166.0,196,72.0,1013.9999999999999,62.0,5,960.9999999999998,93.8913858206404,623.9999999999999,39.139042,
1_1_LT05_166062_19870502,29.0,61.839417,792.0,1.0,1987-05-02T06:54:40,0.0,1.2108079162605163,1085.0,163.00000000000003,Tana_Land_Downstream,2593.8456790123455,166.0,196,223.99999999999994,1044.0,62.0,5,1441.0000000000002,194.1865418380709,1002.9999999999999,39.78257,
1_1_LT05_166062_19870619,21.0,51.476334,412.9999999999999,0.0,1987-06-19T06:55:52,0.0,0.630674985320916,676.9999999999998,178.0,Tana_Land_Downstream,2863.0,166.0,196,66.0,566.5807475127723,62.0,5,967.0000000000001,200.9345385331009,404.99999999999994,44.198345,
1_1_LT05_166062_19870806,26.0,60.561405,3260.046397188049,1.0,1987-08-06T06:56:59,0.0,0.2849844906891621,3537.6989795918366,170.00000000000003,Tana_Land_Downstream,4553.0,166.0,196,224.0,3528.659658344284,62.0,5,3460.3977777777777,1008.280024055113,2488.611280487805,41.812523,
1_1_LT05_166062_19870907,21.0,75.360001,376.49698275862073,0.024040777010756156,1987-09-07T06:57:52,0.0,0.2849844906891621,623.0,151.00000000000003,Tana_Land_Downstream,3050.000000000001,166.0,196,66.0,502.8234886940471,62.0,5,1019.0,314.12655806452614,426.0,36.335716,
1_1_LT05_166062_19870923,26.0,85.463234,418.0,0.8509592229892441,1987-09-23T06:58:15,0.0,1.2873329622783802,688.0000000000001,142.00000000000006,Tana_Land_Downstream,3161.0,166.0,196,72.0,534.9999999999999,62.0,5,1068.0,589.4567253187734,485.00000000000006,33.835846,
1_1_LT05_166062_19871009,34.0,96.786781,326.4277929155313,0.0,1987-10-09T06:58:34,0.0,0.0,570.3822225678512,137.0,Tana_Land_Downstream,2934.555939788446,166.0,196,66.0,467.0,62.0,5,944.0,287.9446804589059,370.00000000000006,32.395275,
1_1_LT05_166062_19910411,29.0,73.1362,304.0000000000001,0.0,1991-04-11T06:53:04,0.0,1.3112145636088988,572.9999999999998,159.99999999999997,Tana_Land_Downstream,2758.9999999999995,166.0,196,66.0,426.0,62.0,5,918.0000000000001,344.64271001069386,364.00000000000006,38.724823,
1_1_LT05_166062_19910427,18.0,64.359848,1597.8198614318708,1.0,1991-04-27T06:53:19,0.0,1.3343568194512265,1834.0,163.0,Tana_Land_Downstream,3523.9813084112157,166.0,196,224.0,1867.3161634103021,62.0,5,2108.4,1909.0386012779586,1344.0,39.62112,
1_1_LT05_166062_19941012,49.0,98.630867,386.58959795077396,0.0,1994-10-12T06:46:59,4.0,1.7766826998866836,592.29696342725,146.99999999999997,Tana_Land_Downstream,2422.052272727273,166.0,196,66.0,491.0000000000001,62.0,5,795.0,173.8184575346266,343.99999999999994,35.18568,
