system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_166062_19850309,33.0,93.593277,670.0,0.0,1985-03-09T07:01:39,1.0,0.0,1162.0,155.0,Tana_Water_Downstream,1682.8534180543381,166.0,122,66.0,1626.9999999999998,62.0,5,320.69979624179314,45.36669030937176,239.99999999999997,37.326508,
1_1_LT05_166062_19850410,20.0,72.516144,2347.707792207792,1.0,1985-04-10T07:01:33,2.0,0.8886168362979723,2380.0,152.0,Tana_Water_Downstream,2848.0,166.0,122,224.0,2290.0,62.0,5,1540.0,846.1309595121714,870.0,36.635551,
1_1_LT05_166062_19860616,29.0,51.676105,857.0,1.0,1986-06-16T06:54:56,1.0,1.098513568998513,1275.9999999999998,177.99999999999997,Tana_Water_Downstream,1567.0,166.0,122,96.0,1453.9999999999998,62.0,5,670.9999999999999,227.2495718628567,499.0,44.266293,
1_1_LT05_166062_19860819,28.0,66.450317,616.0,0.0,1986-08-19T06:52:43,1.0,0.0,1120.0,167.0,Tana_Water_Downstream,1553.0000000000002,166.0,122,66.0,1452.9999999999998,62.0,5,256.0,31.115865040886668,177.99999999999997,40.788879,
1_1_LT05_166062_19861006,25.0,94.679253,631.9999999999999,0.09799222797927458,1986-10-06T06:51:06,1.0,0.0,1121.0000000000002,143.99999999999997,Tana_Water_Downstream,982.0,166.0,122,68.0,1404.0,62.0,5,236.0,47.39540741372441,162.99999999999997,34.432552,
1_1_LT05_166062_19861022,39.0,105.289978,806.5454356846471,0.0,1986-10-22T06:50:34,1.0,0.12698306053139083,1348.0,144.0,Tana_Water_Downstream,1132.9999999999995,166.0,122,68.0,1597.9999999999998,62.0,5,414.0,83.5948774387297,306.00000000000006,34.355793,
1_1_LT05_166062_19870126,30.0,114.968109,611.9999999999999,0.5534326424870466,1987-01-26T06:51:14,1.0,0.09016393442622939,986.0,173.0,Tana_Water_Downstream,1167.0000000000002,166.0,122,72.0,1188.0,62.0,5,201.99999999999997,98.1923806479259,139.0,42.606323,
1_1_LT05_166062_19870227,27.0,99.743393,647.0,0.0,1987-02-27T06:52:29,1.0,0.09016393442622939,1138.0000000000002,164.99999999999997,Tana_Water_Downstream,1726.8613678373383,166.0,122,66.0,1504.0000000000002,62.0,5,174.75898741761534,60.094662962095214,98.99999999999999,40.40884,
1_1_LT05_166062_19870315,62.0,90.116783,1247.0,1.0,1987-03-15T06:53:05,2.0,0.33756164396678723,1395.0000000000005,161.0,Tana_Water_Downstream,1587.9999999999995,166.0,122,72.0,1388.0,62.0,5,933.9999999999999,66.84512266887538,700.9999999999999,39.139042,
1_1_LT05_166062_19870502,29.0,61.839417,791.0,1.0,1987-05-02T06:54:40,2.0,0.9669699611004051,1200.0,163.0,Tana_Water_Downstream,1815.0000000000002,166.0,122,72.0,1516.0,62.0,5,778.0,146.2979185067904,609.0,39.78257,
1_1_LT05_166062_19870619,21.0,51.476334,573.9999999999998,0.0,1987-06-19T06:55:52,1.0,0.0,1097.9999999999998,177.99999999999997,Tana_Water_Downstream,862.0,166.0,122,68.0,1158.0,62.0,5,367.99999999999994,40.52219026396894,234.00000000000003,44.198345,
1_1_LT05_166062_19870806,26.0,60.561405,20000.0,1.0,1987-08-06T06:56:59,0.0,0.515286349032843,4468.0,170.00000000000003,Tana_Water_Downstream,5680.0,166.0,122,224.0,4534.0,62.0,5,4435.927230046948,1492.7786337729626,3024.0000000000005,41.812523,
1_1_LT05_166062_19870907,21.0,75.360001,622.0000000000001,0.0,1987-09-07T06:57:52,1.0,0.38828587810908244,1113.9999999999998,151.0,Tana_Water_Downstream,1810.7343665525318,166.0,122,66.0,1465.9999999999998,62.0,5,272.8021142066785,80.43086613582028,206.0,36.335716,
1_1_LT05_166062_19870923,26.0,85.463234,652.0,0.8795336787564767,1987-09-23T06:58:15,1.0,0.6896945563266437,1078.0,142.0,Tana_Water_Downstream,1355.9999999999998,166.0,122,72.0,1223.0,62.0,5,253.0,200.51241415847088,195.99999999999997,33.835846,
1_1_LT05_166062_19871009,34.0,96.786781,722.6302862719585,0.0,1987-10-09T06:58:34,1.0,0.0,1225.0000000000007,136.99999999999997,Tana_Water_Downstream,1218.9999999999995,166.0,122,66.0,1426.9999999999998,62.0,5,407.0,48.74638059455919,300.0,32.395275,
1_1_LT05_166062_19910411,29.0,73.1362,586.7899113588596,0.0,1991-04-11T06:53:04,1.0,0.0,1106.0,160.00000000000003,Tana_Water_Downstream,1015.9999999999998,166.0,122,68.0,1467.9999999999995,62.0,5,176.99999999999997,33.417992577288764,99.99999999999993,38.724823,
1_1_LT05_166062_19910427,18.0,64.359848,2876.00185873606,1.0,1991-04-27T06:53:19,0.0,1.7321283858193168,3292.8415841584156,163.0,Tana_Water_Downstream,3920.9999999999995,166.0,122,224.0,3365.0,62.0,5,3013.525089605734,1354.6473453488484,2201.0,39.62112,
1_1_LT05_166062_19941012,49.0,98.630867,778.0,0.0,1994-10-12T06:46:59,1.0,0.0,1240.9999999999998,147.00000000000003,Tana_Water_Downstream,877.9999999999995,166.0,122,68.0,1293.0000000000002,62.0,5,363.00000000000006,37.151643639289695,271.99999999999994,35.18568,
1_1_LT05_166062_19941129,43.0,120.963379,708.9999999999999,0.0,1994-11-29T06:45:21,1.0,0.0,1159.0000000000005,162.0,Tana_Water_Downstream,966.9999999999999,166.0,122,68.0,1463.0,62.0,5,221.99999999999991,25.58025480005199,134.0,39.447968,
1_1_LT05_166062_19950524,16.0,56.913124,447.00000000000006,0.0,1995-05-24T06:38:25,1.0,0.4904352557918554,774.9999999999998,182.0,Tana_Water_Downstream,862.0,166.0,122,68.0,993.9999999999997,62.0,5,325.0,150.06413056215655,245.99999999999997,45.500141,
1_1_LT05_166062_20090701,63.0,47.804188,1075.0,0.9833873056994819,2009-07-01T07:19:50,1.0,1.6881465437050722,1353.0000000000002,164.0,Tana_Water_Downstream,1812.417138237672,166.0,122,224.0,1340.0,62.0,5,1045.9999999999998,194.72895115561835,781.9999999999999,39.977352,
1_1_LT05_166062_20091106,41.0,119.137474,1091.3584725536991,1.0,2009-11-06T07:21:31,1.0,1.167853020391394,1407.0,122.00000000000001,Tana_Water_Downstream,2011.640703517588,166.0,122,72.0,1620.0,62.0,5,956.0,941.651431815712,748.0,28.47802,
1_1_LT05_166062_20091122,33.0,125.99987,745.0,0.0,2009-11-22T07:21:37,1.0,0.0,1413.0000000000002,131.00000000000003,Tana_Water_Downstream,1124.0,166.0,122,68.0,1871.0,62.0,5,383.99999999999994,36.622741681601894,284.99999999999994,30.900124,
1_1_LT05_166062_20091208,20.0,128.816971,729.9999999999999,0.3095854922279792,2009-12-08T07:21:46,1.0,0.2704918032786884,1496.9999999999998,140.0,Tana_Water_Downstream,872.0000000000001,166.0,122,68.0,1963.0000000000002,62.0,5,173.0,392.7284755005167,121.0,33.354511,
1_1_LT05_166062_20100210,33.0,111.295425,670.0,0.0,2010-02-10T07:22:07,1.0,0.0,1186.0,145.0,Tana_Water_Downstream,581.9999999999998,166.0,122,68.0,1183.9999999999998,62.0,5,298.00000000000006,43.49355504928343,225.00000000000003,34.674007,
