system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,2161.8802946593005,1.0,1984-04-08T09:04:35,0.0,1.5260501529817145,2302.0254445125693,198.0,Vistula_Water_Downstream,2601.3715846994533,189.0,237,224.0,2321.9999999999995,22.0,5,1963.0,586.4524139246101,1658.111111111111,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,560.9999999999999,1.0,1984-04-24T09:04:35,1.0,0.5060477417912218,686.9397142857142,181.0,Vistula_Water_Downstream,729.1989955788298,189.0,237,72.0,590.4282242568104,22.0,5,199.99999999999997,136.4109239779814,95.99999999999999,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,815.0,0.0,1984-08-30T09:07:29,1.0,1.5980591408019782,963.9999999999999,193.0,Vistula_Water_Downstream,1642.9999999999998,189.0,237,66.0,870.9999999999999,22.0,5,1128.0,769.2629397154308,822.0,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,4220.0,1.0,1984-11-02T09:07:24,0.0,1.7484042772710544,4375.954701180054,241.0,Vistula_Water_Downstream,4609.617224880383,189.0,237,224.0,4395.0,22.0,5,4481.807183364839,750.1733865939849,3851.7512195121953,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,605.3627419866708,0.30234965494577726,1984-11-18T09:07:18,1.0,0.7012856247870627,765.849629003475,247.0,Vistula_Water_Downstream,566.2162081190394,189.0,237,68.0,653.3070389911207,22.0,5,140.12529630883844,291.12176508428206,78.0,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,2749.0,0.9958100558659218,1985-02-06T09:07:51,2.0,0.3669188219799098,2784.1423234964514,245.0,Vistula_Water_Downstream,2412.3076923076924,189.0,237,80.0,2783.0,22.0,5,399.0,149.86398160415334,270.99999999999994,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,5620.999999999999,1.0,1985-02-22T09:07:52,2.0,0.0,5307.000000000001,237.0,Vistula_Water_Downstream,4826.0,189.0,237,176.0,5121.0,22.0,5,1999.0,511.7969603734227,1590.0000000000005,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,4149.891382654476,1.0,1985-03-26T09:07:49,0.0,1.3487333687093366,4423.0,211.0,Vistula_Water_Downstream,4753.990080595165,189.0,237,224.0,4423.989879822897,22.0,5,4495.0,732.8948530328362,4131.0,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,582.0147126969416,1.0,1985-04-11T09:07:45,1.0,0.22358888269184415,613.9999999999999,194.0,Vistula_Water_Downstream,417.00000000000006,189.0,237,72.0,513.0,22.0,5,221.0,81.01819293681598,152.00000000000003,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,2831.0,1.0,1985-04-27T09:07:39,2.0,0.0,2892.9999999999995,178.0,Vistula_Water_Downstream,3200.02956384892,189.0,237,224.0,2803.9999999999995,22.0,5,1765.9999999999998,57.48229073198657,1335.0,44.178322,
