system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,862.0085984158584,0.10052682507257284,1984-04-08T09:04:35,1.0,0.17365513675023508,930.0000000000001,198.00000000000003,Vistula_Water_Upstream,865.0,189.0,330,68.0,826.0096869776629,22.0,5,355.0,88.2100321416538,200.99999999999997,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,1080.1997705338463,1.0,1984-04-24T09:04:35,1.0,0.9063595331356012,1195.9999999999998,181.00000000000003,Vistula_Water_Upstream,1450.0,189.0,330,160.00000000000006,1108.9121251961485,22.0,5,796.6980999296269,154.625239922002,562.0,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,20000.0,1.0,1984-08-30T09:07:29,2.0,0.21885418285173042,7538.254161043635,193.0,Vistula_Water_Upstream,7805.382641921397,189.0,330,224.0,7581.000000000001,22.0,5,5232.5,916.57321469545,3424.3822975517887,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,3584.8042049934297,1.0,1984-11-02T09:07:24,0.0,1.9852532550495998,3774.184291423301,241.00000000000006,Vistula_Water_Upstream,3929.524694154961,189.0,330,224.0,3794.567415730337,22.0,5,3688.1894875164257,581.7659491153174,3175.4471097784444,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,732.7022076860179,0.6772748449987456,1984-11-18T09:07:18,1.0,0.5306492376389467,857.9395434209017,246.99999999999997,Vistula_Water_Upstream,658.2075818122906,189.0,330,95.99999999999997,728.7521411092985,22.0,5,211.98450583503657,440.3915909601701,191.99999999999997,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,5513.565592374035,1.0,1985-02-06T09:07:51,2.0,0.0,5862.369851729818,245.0,Vistula_Water_Upstream,5869.724513361927,189.0,330,80.0,5910.88827516947,22.0,5,2318.0,727.6121045595389,2083.9999999999995,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,20000.0,1.0,1985-02-22T09:07:52,4.0,1.4721160971504386,8439.0,237.0,Vistula_Water_Upstream,8850.000000000002,189.0,330,224.0,8701.0,22.0,5,7133.0,1791.154715610163,5704.000000000001,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,3170.5,1.0,1985-03-26T09:07:49,0.0,1.7504662897082477,3266.0,210.99999999999997,Vistula_Water_Upstream,3502.138813282526,189.0,330,224.0,3221.0000000000005,22.0,5,3125.0,827.9648266884541,2687.0,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,640.0,0.806520206907262,1985-04-11T09:07:45,1.0,1.0395706184319904,672.0,194.00000000000003,Vistula_Water_Upstream,704.0,189.0,330,95.99999999999999,603.3345888261142,22.0,5,503.32196969696975,963.0564720589628,375.0,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,3180.873893211698,1.0,1985-04-27T09:07:39,2.0,0.0,3277.0,177.99999999999994,Vistula_Water_Upstream,3705.0000000000005,189.0,330,224.0,3176.0,22.0,5,1876.8623271889403,51.28840472404175,1372.6992387074945,44.178322,
